,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S01005371,511,39,71,47,59,106,47,48,52,42
S01005372,433,49,46,32,44,66,39,51,43,63
S01005373,333,22,32,25,34,55,37,38,47,43
S01005374,428,35,36,41,34,74,46,46,72,44
S01005375,436,39,37,52,56,68,55,30,59,40
S01005376,460,32,45,50,52,62,61,43,65,50
S01005377,398,22,30,33,30,60,43,45,77,58
S01005378,316,22,17,11,14,46,45,38,56,67
S01005379,466,27,38,33,42,67,79,46,73,61
S01005380,265,9,13,18,16,43,42,31,48,45
S01005381,237,9,14,14,6,52,35,34,34,39
S01005382,308,13,16,17,17,37,34,33,67,74
S01005383,295,36,38,31,24,71,25,15,17,38
S01005384,504,56,82,56,57,95,47,27,38,46
S01005385,522,66,71,50,59,119,44,32,26,55
S01005386,296,29,40,32,36,57,20,18,28,36
S01005387,430,28,22,23,36,82,53,38,70,78
S01005388,332,36,28,29,30,52,41,29,40,47
S01005389,366,36,52,31,35,51,48,33,35,45
S01005390,403,28,31,27,35,82,53,37,50,60
S01005391,342,43,46,22,33,49,43,20,41,45
S01005392,383,36,52,25,31,113,34,16,24,52
S01005393,444,41,65,49,44,85,49,28,36,47
S01005394,461,56,106,48,28,82,42,19,23,57
S01005395,502,58,108,51,43,92,45,28,24,53
S01005396,353,62,57,50,33,61,23,14,16,37
S01005397,210,20,30,38,22,35,14,8,17,26
S01005398,503,40,101,65,71,71,49,40,25,41
S01005399,408,37,52,35,45,56,44,53,36,50
S01005400,468,28,49,40,43,70,69,56,44,69
S01005401,390,32,51,35,59,57,41,35,42,38
S01005402,549,42,110,62,60,80,54,56,33,52
S01005403,453,33,61,36,41,73,60,49,41,59
S01005404,494,62,111,69,53,77,33,29,22,38
S01005405,259,24,65,37,29,39,22,10,13,20
S01005406,231,17,25,27,36,34,24,16,20,32
S01005407,680,82,101,81,65,132,56,36,46,81
S01005408,300,18,35,26,36,42,40,24,35,44
S01005409,359,38,48,31,46,66,36,21,33,40
S01005410,541,72,91,54,56,102,52,15,40,59
S01005411,477,61,84,49,54,70,47,34,34,44
S01005412,456,50,125,49,43,56,39,30,26,38
S01005413,444,40,71,39,38,78,39,32,33,74
S01005414,440,57,113,48,45,48,40,28,23,38
S01005415,412,47,71,39,33,54,42,42,24,60
S01005416,417,23,33,41,36,75,61,38,55,55
S01005417,626,57,126,87,98,75,58,45,31,49
S01005418,486,76,160,72,40,43,31,16,8,40
S01005419,310,12,15,20,20,62,48,31,49,53
S01005420,352,26,21,36,31,86,37,27,40,48
S01005421,455,24,54,55,68,58,58,54,30,54
S01005422,363,33,64,37,46,38,32,54,19,40
S01005423,564,44,60,51,49,106,75,53,49,77
S01005424,434,62,75,47,50,48,49,42,19,42
S01005425,373,15,21,26,27,48,40,65,44,87
S01005426,313,19,15,14,19,53,44,36,47,66
S01005427,345,30,42,28,40,40,44,40,18,63
S01005428,459,24,45,52,34,54,64,59,46,81
S01005429,333,28,56,34,29,37,32,48,27,42
S01005430,257,18,59,28,31,30,22,28,23,18
S01005431,330,19,36,24,33,53,39,44,28,54
S01005432,395,30,41,39,41,73,49,53,25,44
S01005433,444,37,45,53,49,68,37,60,42,53
S01005434,463,37,46,47,42,60,39,78,49,65
S01005435,489,41,105,67,44,83,59,31,19,40
S01005436,484,37,76,68,64,58,49,57,33,42
S01005437,513,41,85,63,59,69,53,47,32,64
S01005438,363,21,27,39,33,62,54,33,30,64
S01005439,366,36,33,40,30,67,40,44,26,50
S01005440,659,80,82,75,72,141,55,37,50,67
S01005441,546,49,66,71,47,75,65,72,44,57
S01005442,"1,010",149,232,142,101,127,87,55,33,84
S01005443,564,77,135,75,42,82,51,36,22,44
S01005444,676,81,146,93,61,81,60,50,37,67
S01005445,493,46,76,55,57,86,51,35,36,51
S01005446,372,21,50,39,35,62,48,32,32,53
S01005447,449,54,89,60,45,38,51,19,27,66
S01005448,459,51,87,63,46,55,52,42,10,53
S01005449,495,71,109,52,44,97,30,19,23,50
S01005450,428,34,41,37,44,71,42,45,60,54
S01005451,381,42,80,45,27,53,39,32,18,45
S01005452,375,47,128,61,34,27,20,22,11,25
S01005453,359,25,29,28,31,78,53,32,33,50
S01005454,404,55,96,42,26,57,30,22,9,67
S01005455,441,32,80,47,38,61,52,33,20,78
S01005456,433,36,87,54,38,65,51,38,17,47
S01005457,449,23,66,34,30,90,65,45,31,65
S01005458,356,33,58,30,33,48,51,31,17,55
S01005459,512,62,111,60,34,95,45,17,29,59
S01005460,442,44,70,42,36,87,45,21,37,60
S01005461,383,48,54,46,25,78,39,20,29,44
S01005462,508,64,71,39,39,119,58,14,45,59
S01005463,313,32,79,51,37,26,30,19,16,23
S01005464,299,40,30,30,24,58,32,20,26,39
S01005465,328,39,72,39,22,54,28,22,17,35
S01005466,625,87,126,80,62,117,48,33,27,45
S01005467,254,24,44,33,30,47,23,14,23,16
S01005468,498,72,142,54,45,76,35,14,12,48
S01005469,424,53,67,56,39,68,44,23,28,46
S01005470,331,41,103,40,31,35,23,26,7,25
S01005471,392,64,126,55,31,38,29,15,9,25
S01005472,807,108,208,97,80,131,55,33,30,65
S01005473,519,45,82,51,55,92,52,17,63,62
S01005474,331,37,46,32,31,47,29,23,40,46
S01005475,501,65,94,60,48,99,38,15,19,63
S01005476,500,88,150,75,38,49,41,9,16,34
S01005477,431,31,41,36,37,83,53,28,61,61
S01005478,372,38,48,32,25,62,32,16,52,67
S01005479,230,19,30,22,13,32,23,18,46,27
S01005480,617,84,93,69,74,108,51,36,48,54
S01005481,325,20,21,27,25,46,36,20,64,66
S01005482,334,32,58,33,27,72,22,14,30,46
S01005483,459,47,67,59,30,73,44,36,49,54
S01005484,254,22,36,20,19,42,32,18,18,47
S01005485,378,29,24,18,25,69,61,41,53,58
S01005486,368,29,28,34,22,78,42,23,56,56
S01005487,299,31,26,35,18,59,41,24,30,35
S01005488,378,21,27,29,17,86,40,42,51,65
S01005489,504,52,78,43,48,108,43,20,49,63
S01005490,278,40,43,37,21,53,22,14,23,25
S01005491,431,45,52,43,45,91,38,24,50,43
S01005492,527,37,66,61,43,100,79,37,51,53
S01005493,407,33,87,51,28,72,43,27,30,36
S01005494,487,42,65,65,41,86,60,33,38,57
S01005495,445,30,71,41,46,92,58,27,36,44
S01005496,650,40,103,61,67,145,85,32,48,69
S01005497,487,52,94,70,59,65,59,21,35,32
S01005498,558,41,65,51,59,125,73,30,61,53
S01005499,342,20,29,33,29,46,44,37,31,73
S01005500,431,32,38,53,51,74,64,23,36,60
S01005501,574,65,89,72,56,91,70,46,29,56
S01005502,455,34,71,56,40,72,52,28,54,48
S01005503,343,20,46,37,32,44,56,23,38,47
S01005504,338,25,49,37,35,61,48,17,30,36
S01005505,341,16,32,26,35,57,50,27,27,71
S01005506,540,46,84,61,55,97,54,43,25,75
S01005507,359,18,19,32,24,75,56,35,49,51
S01005508,425,24,38,26,56,82,54,22,49,74
S01005509,386,32,40,37,41,80,61,18,46,31
S01005510,426,45,64,52,48,72,53,18,46,28
S01005511,352,29,44,30,46,76,37,14,41,35
S01005512,377,22,47,34,28,98,52,17,40,39
S01005513,460,34,68,41,41,102,62,31,35,46
S01005514,338,21,50,34,35,72,36,21,28,41
S01005515,274,11,28,24,19,83,36,15,34,24
S01005516,281,10,36,30,19,78,36,12,32,28
S01005517,539,23,48,55,49,102,70,24,79,89
S01005518,629,54,80,71,51,106,81,28,68,90
S01005519,364,14,46,28,36,78,39,28,40,55
S01005520,482,32,60,56,31,101,62,19,65,56
S01005521,344,20,43,23,22,90,58,11,39,38
S01005522,262,17,24,13,33,56,28,16,22,53
S01005523,373,38,28,19,38,106,30,25,34,55
S01005524,342,28,44,33,29,96,33,13,23,43
S01005525,292,13,21,19,30,42,55,25,44,43
S01005526,248,11,14,10,16,28,39,30,43,57
S01005527,168,2,6,11,15,25,30,15,27,37
S01005528,204,15,22,19,23,34,35,15,21,20
S01005529,423,18,34,34,40,55,59,32,80,71
S01005530,190,6,11,15,12,28,22,19,30,47
S01005531,249,17,36,24,29,25,30,20,26,42
S01005532,336,35,53,34,21,43,59,25,30,36
S01005533,252,17,32,22,29,36,33,23,27,33
S01005534,275,17,27,27,31,38,38,17,38,42
S01005535,382,22,27,21,35,71,50,24,70,62
S01005536,458,40,85,49,45,97,51,18,26,47
S01005537,351,38,39,23,34,88,37,16,25,51
S01005538,391,34,50,39,41,89,49,17,28,44
S01005539,405,51,50,33,41,94,44,18,32,42
S01005540,299,15,24,26,24,59,46,21,31,53
S01005541,285,21,23,20,28,41,51,33,27,41
S01005542,335,19,22,31,33,59,52,29,43,47
S01005543,299,13,33,37,39,56,28,32,26,35
S01005544,309,24,25,33,26,55,54,25,29,38
S01005545,577,54,89,70,60,103,53,33,43,72
S01005546,398,50,57,51,38,69,41,19,25,48
S01005547,484,62,99,69,46,72,36,38,27,35
S01005548,591,82,161,81,62,53,53,27,25,47
S01005549,749,74,135,105,91,100,80,73,41,50
S01005550,242,38,71,38,26,19,12,14,4,20
S01005551,315,44,101,59,39,16,19,16,8,13
S01005552,297,44,87,47,31,26,18,21,7,16
S01005553,332,48,109,61,32,25,24,18,3,12
S01005554,269,36,70,42,40,15,28,18,9,11
S01005555,371,89,105,65,34,20,14,19,7,18
S01005556,256,25,58,35,38,33,18,18,6,25
S01005557,313,18,21,26,28,46,50,39,32,53
S01005558,281,18,81,47,31,29,25,22,14,14
S01005559,290,16,22,23,26,37,45,45,22,54
S01005560,255,14,25,27,22,33,43,41,18,32
S01005561,446,46,83,63,64,54,40,36,22,38
S01005562,311,44,80,66,37,16,17,26,6,19
S01005563,314,24,39,26,25,39,41,34,29,57
S01005564,373,65,95,63,41,28,21,26,8,26
S01005565,233,23,50,34,39,22,23,17,11,14
S01005566,232,14,32,22,28,37,24,25,18,32
S01005567,407,25,67,43,49,54,64,40,28,37
S01005568,259,11,46,31,28,40,29,32,17,25
S01005569,387,36,85,56,57,46,34,30,22,21
S01005570,349,26,43,42,46,62,37,33,20,40
S01005571,392,39,66,62,47,52,32,38,20,36
S01005572,344,58,111,55,46,24,16,15,6,13
S01005573,304,24,43,43,34,41,41,38,11,29
S01005574,409,28,51,36,53,50,51,53,28,59
S01005575,353,28,65,51,48,35,41,43,20,22
S01005576,332,27,53,52,33,33,31,31,23,49
S01005577,363,62,108,57,44,36,13,21,4,18
S01005578,405,21,43,39,59,58,51,56,32,46
S01005579,498,57,90,70,41,79,54,31,38,38
S01005580,195,30,59,25,23,10,15,13,8,12
S01005581,295,20,60,40,36,30,33,25,16,35
S01005582,348,62,96,52,39,29,19,20,8,23
S01005583,270,15,65,33,44,32,23,19,17,22
S01005584,272,25,61,40,39,32,22,21,16,16
S01005585,377,42,46,37,34,48,47,48,19,56
S01005586,310,53,63,35,29,22,28,25,19,36
S01005587,449,27,29,42,43,57,72,64,36,79
S01005588,210,16,45,40,22,17,21,14,13,22
S01005589,695,78,121,109,71,75,57,75,28,81
S01005590,252,16,18,18,19,45,26,41,16,53
S01005591,389,21,20,26,54,46,74,60,28,60
S01005592,169,10,11,8,13,24,28,20,15,40
S01005593,321,17,17,25,19,43,55,44,29,72
S01005594,416,33,43,46,37,68,64,38,26,61
S01005595,275,18,12,13,19,36,48,39,33,57
S01005596,190,7,6,10,18,30,35,27,16,41
S01005597,431,35,30,38,49,68,63,57,31,60
S01005598,417,18,39,39,31,53,59,48,27,103
S01005599,240,12,12,22,25,34,41,32,26,36
S01005600,258,15,12,19,11,37,47,34,24,59
S01005601,328,20,23,25,27,58,41,38,33,63
S01005602,239,7,16,14,22,40,29,32,19,60
S01005603,277,17,20,16,17,38,62,32,23,52
S01005604,183,5,6,16,17,27,28,24,11,49
S01005605,435,35,57,53,56,54,54,45,31,50
S01005606,303,28,46,35,29,33,38,24,19,51
S01005607,343,17,42,48,48,37,46,35,27,43
S01005608,454,28,65,62,57,60,75,43,36,28
S01005609,411,36,51,53,51,47,41,56,32,44
S01005610,269,27,47,31,30,36,24,29,16,29
S01005611,251,13,14,16,13,38,44,27,28,58
S01005612,493,35,96,74,77,52,47,45,32,35
S01005613,369,33,57,37,39,47,47,43,25,41
S01005614,358,28,30,26,40,45,52,35,37,65
S01005615,424,25,56,55,54,56,65,42,23,48
S01005616,270,21,40,32,34,43,37,22,12,29
S01005617,329,22,17,20,39,49,44,43,32,63
S01005618,249,19,27,26,24,36,33,32,10,42
S01005619,313,24,64,37,45,34,33,42,12,22
S01005620,214,20,38,31,19,22,26,28,12,18
S01005621,285,36,46,21,38,32,27,29,20,36
S01005622,385,30,62,63,57,56,28,27,36,26
S01005623,343,26,58,49,28,48,34,43,15,42
S01005624,400,63,84,72,40,49,26,30,14,22
S01005625,423,42,88,73,45,41,53,32,20,29
S01005626,404,23,44,41,42,56,45,45,42,66
S01005627,279,28,54,35,29,40,21,27,17,28
S01005628,466,42,34,43,55,72,76,51,36,57
S01005629,350,38,106,61,44,25,25,22,10,19
S01005630,243,28,42,26,39,32,13,20,14,29
S01005631,340,27,27,29,39,72,31,40,23,52
S01005632,246,32,63,26,27,28,26,21,8,15
S01005633,318,22,39,33,38,51,35,39,23,38
S01005634,383,37,79,64,55,46,30,33,9,30
S01005635,364,48,106,48,39,39,27,28,14,15
S01005636,357,38,74,62,51,32,24,31,23,22
S01005637,532,53,83,72,55,84,57,34,38,56
S01005638,436,51,82,83,57,44,35,33,15,36
S01005639,286,11,20,18,25,50,41,29,35,57
S01005640,354,47,70,47,37,43,30,28,22,30
S01005641,557,39,74,46,53,132,61,47,41,64
S01005642,323,63,96,57,25,13,22,16,7,24
S01005643,233,39,81,36,19,15,13,12,7,11
S01005644,247,37,72,36,36,16,11,18,7,14
S01005645,354,50,94,60,33,29,25,23,12,28
S01005646,349,46,71,49,24,38,37,27,20,37
S01005647,320,46,95,41,31,32,23,21,8,23
S01005648,390,40,86,56,30,47,40,34,21,36
S01005649,471,44,84,59,38,75,51,45,35,40
S01005650,243,16,21,26,24,38,36,29,19,34
S01005651,336,27,50,41,38,40,33,38,23,46
S01005652,352,41,67,52,38,56,26,23,19,30
S01005653,377,23,61,46,33,40,44,54,31,45
S01005654,317,25,57,56,34,31,32,29,21,32
S01005655,501,53,116,84,64,66,28,31,24,35
S01005656,292,32,26,36,26,46,33,27,21,45
S01005657,214,15,38,35,24,23,24,21,15,19
S01005658,452,31,88,70,74,51,41,39,18,40
S01005659,460,53,113,94,51,36,32,36,17,28
S01005660,277,18,30,35,23,41,31,43,13,43
S01005661,334,33,56,58,41,35,35,41,9,26
S01005662,280,31,64,50,27,28,23,32,8,17
S01005663,262,32,75,38,25,27,20,17,12,16
S01005664,277,23,55,42,42,32,19,21,18,25
S01005665,234,18,38,36,30,25,28,26,14,19
S01005666,586,51,97,75,39,86,62,52,45,79
S01005667,301,32,73,38,30,33,24,27,9,35
S01005668,375,28,48,49,44,71,38,33,30,34
S01005669,271,26,41,28,18,71,21,15,27,24
S01005670,372,32,53,29,43,79,31,21,41,43
S01005671,264,23,40,24,24,59,24,15,20,35
S01005672,339,12,23,23,32,53,48,28,71,49
S01005673,330,37,64,35,32,58,38,19,17,30
S01005674,373,24,46,43,48,43,34,26,67,42
S01005675,331,22,19,17,27,64,52,29,45,56
S01005676,385,16,25,39,32,65,71,35,49,53
S01005677,442,58,99,44,46,80,40,26,23,26
S01005678,449,65,92,46,49,85,32,22,26,32
S01005679,398,27,52,28,28,64,63,38,46,52
S01005680,412,57,66,37,43,71,39,28,36,35
S01005681,411,53,81,43,32,75,27,38,27,35
S01005682,383,51,81,55,30,56,34,26,21,29
S01005683,294,6,16,15,24,45,69,26,42,51
S01005684,494,22,52,34,44,72,82,54,72,62
S01005685,415,52,74,54,49,80,25,26,22,33
S01005686,380,43,55,54,39,62,37,22,42,26
S01005687,375,45,64,46,39,66,46,14,29,26
S01005688,497,41,83,69,56,74,44,42,44,44
S01005689,265,26,65,27,22,54,19,13,17,22
S01005690,404,35,75,39,27,82,42,26,32,46
S01005691,336,48,67,36,33,50,37,23,15,27
S01005692,342,30,71,39,33,57,25,19,26,42
S01005693,822,116,235,143,78,71,56,45,35,43
S01005694,231,19,12,21,19,38,39,32,22,29
S01005695,238,24,42,26,21,28,29,26,16,26
S01005696,306,29,43,30,33,35,38,35,30,33
S01005697,262,5,19,21,27,46,37,30,37,40
S01005698,303,35,56,38,34,44,24,27,19,26
S01005699,354,39,60,43,34,39,36,33,29,41
S01005700,270,31,60,38,36,32,25,17,14,17
S01005701,334,20,41,27,30,53,49,35,27,52
S01005702,299,26,33,24,35,58,37,34,26,26
S01005703,297,32,56,59,36,30,20,29,21,14
S01005704,301,15,35,25,30,46,62,24,21,43
S01005705,494,63,85,71,51,82,51,31,27,33
S01005706,369,38,111,49,43,35,34,25,14,20
S01005707,225,22,31,26,27,26,22,23,11,37
S01005708,331,23,30,46,34,61,39,35,27,36
S01005709,371,32,42,39,43,66,51,28,29,41
S01005710,280,24,38,41,36,47,28,25,24,17
S01005711,497,56,133,69,62,63,31,38,19,26
S01005712,259,13,36,24,30,42,28,35,28,23
S01005713,257,31,60,33,30,25,19,23,20,16
S01005714,638,57,105,92,79,99,65,49,50,42
S01005715,345,20,57,41,45,53,38,29,34,28
S01005716,211,35,54,38,31,12,15,5,6,15
S01005717,249,11,50,37,29,41,24,24,7,26
S01005718,374,35,94,60,47,38,29,31,23,17
S01005719,233,38,63,29,17,31,20,13,10,12
S01005720,360,51,121,67,34,20,13,25,11,18
S01005721,321,8,34,29,35,56,57,17,42,43
S01005722,261,13,66,31,34,32,28,21,15,21
S01005723,339,29,72,46,42,48,39,23,14,26
S01005724,335,48,93,59,40,27,22,24,7,15
S01005725,368,27,63,44,35,59,29,35,41,35
S01005726,537,70,106,83,46,62,63,30,33,44
S01005727,768,82,151,116,88,116,57,59,55,44
S01005728,395,18,33,36,46,54,62,44,53,49
S01005729,243,12,14,27,19,47,36,27,23,38
S01005730,348,22,45,36,32,55,41,38,48,31
S01005731,370,35,56,37,35,47,37,33,45,45
S01005732,390,28,36,41,31,70,55,21,56,52
S01005733,366,52,82,49,47,28,36,30,14,28
S01005734,333,56,71,51,35,42,23,20,16,19
S01005735,416,33,69,54,53,64,43,36,32,32
S01005736,337,34,58,48,48,49,32,29,19,20
S01005737,356,23,45,43,39,47,42,43,36,38
S01005738,407,33,48,35,42,75,40,44,43,47
S01005739,458,48,88,60,39,73,43,29,39,39
S01005740,418,56,96,54,28,76,34,14,23,37
S01005741,548,63,105,67,66,103,47,42,22,33
S01005742,452,54,90,61,40,62,41,41,25,38
S01005743,712,87,192,114,85,81,40,49,34,30
S01005744,438,30,25,38,49,66,59,48,61,62
S01005745,493,54,47,47,64,69,56,47,51,58
S01005746,403,55,72,49,41,62,37,39,29,19
S01005747,405,23,81,59,41,44,51,38,35,33
S01005748,234,8,16,14,27,43,25,30,41,30
S01005749,397,45,79,50,43,64,36,29,22,29
S01005750,296,21,32,36,39,36,34,33,32,33
S01005751,386,34,67,52,34,61,39,40,37,22
S01005752,261,8,10,16,28,46,37,25,36,55
S01005753,322,24,44,27,34,50,42,26,32,43
S01005754,494,35,88,69,66,45,59,49,42,41
S01005755,262,18,11,24,24,39,40,29,38,39
S01005756,360,12,34,22,39,53,55,36,46,63
S01005757,190,10,9,17,17,24,26,23,23,41
S01005758,390,20,45,49,45,57,37,36,45,56
S01005759,330,17,27,21,38,53,44,33,45,52
S01005760,332,38,47,39,39,63,31,32,16,27
S01005761,388,33,109,66,42,35,31,31,21,20
S01005762,253,17,16,15,33,34,31,23,33,51
S01005763,"1,393",181,276,222,151,161,107,139,70,86
S01005764,222,10,14,21,29,46,31,21,24,26
S01005765,385,25,45,36,33,51,53,42,47,53
S01005766,317,31,68,55,37,35,23,26,23,19
S01005767,398,33,86,65,67,42,30,32,25,18
S01005768,404,27,60,53,50,58,38,37,40,41
S01005769,315,23,21,27,50,47,35,30,49,33
S01005770,244,23,41,28,25,38,21,22,24,22
S01005771,364,34,46,49,70,41,37,35,29,23
S01005772,342,18,58,43,50,44,39,37,26,27
S01005773,520,46,112,85,68,45,52,45,37,30
S01005774,296,25,40,27,32,29,32,31,41,39
S01005775,312,21,25,33,40,44,42,31,36,40
S01005776,335,28,38,52,40,47,36,34,31,29
S01005777,211,11,33,23,23,24,27,19,22,29
S01005778,300,22,38,31,37,32,44,21,38,37
S01005779,404,46,67,53,65,58,26,43,25,21
S01005780,829,104,170,155,101,88,52,82,30,47
S01005781,474,32,56,49,54,79,50,55,62,37
S01005782,346,16,31,32,46,53,40,44,45,39
S01005783,292,27,58,29,27,51,25,26,27,22
S01005784,324,32,65,60,38,37,21,28,18,25
S01005785,426,34,100,66,58,52,34,23,33,26
S01005786,309,28,28,28,36,40,34,38,39,38
S01005787,395,34,66,54,50,43,37,40,26,45
S01005788,235,9,22,25,44,31,25,25,26,28
S01005789,471,28,62,73,81,63,45,35,31,53
S01005790,263,14,21,28,37,28,32,29,27,47
S01005791,212,14,36,32,28,33,18,12,20,19
S01005792,376,19,38,33,41,50,47,59,41,48
S01005793,294,13,45,40,55,38,26,20,28,29
S01005794,485,41,76,65,70,75,49,51,24,34
S01005795,332,16,22,31,43,42,38,54,37,49
S01005796,593,74,123,96,61,79,47,46,38,29
S01005797,590,62,129,101,73,59,49,55,38,24
S01005798,268,16,19,19,43,36,28,34,32,41
S01005799,322,18,30,36,53,28,34,33,41,49
S01005800,297,18,42,33,37,34,34,34,31,34
S01005801,388,17,28,52,52,63,46,44,33,53
S01005802,461,60,82,50,48,88,32,28,43,30
S01005803,364,19,23,24,50,50,53,49,47,49
S01005804,"2,184",317,463,380,277,228,121,182,128,88
S01005805,361,32,49,67,52,38,29,45,17,32
S01005806,336,24,32,33,42,45,44,27,42,47
S01005807,372,25,32,30,42,49,57,42,37,58
S01005808,349,13,34,28,33,47,54,45,42,53
S01005809,332,30,34,40,33,44,32,40,36,43
S01005810,207,11,30,28,33,25,21,22,16,21
S01005811,238,17,23,23,30,26,28,32,27,32
S01005812,353,27,53,58,51,32,33,37,32,30
S01005813,389,23,33,42,59,46,45,46,49,46
S01005814,338,19,21,18,46,47,46,34,49,58
S01005815,403,25,43,49,51,52,45,32,40,66
S01005816,561,61,82,71,79,55,43,53,45,72
S01005817,300,46,46,47,49,24,12,35,21,20
S01005818,458,56,90,77,70,54,29,46,17,19
S01005819,308,14,26,22,27,50,30,36,39,64
S01005820,329,16,28,47,43,35,31,44,35,50
S01005821,237,16,21,24,24,30,31,25,24,42
S01005822,421,18,39,42,72,45,47,65,38,55
S01005823,310,32,52,41,51,27,30,30,18,29
S01005824,402,40,66,57,72,32,33,45,34,23
S01005825,313,9,34,32,49,43,28,35,33,50
S01005826,514,42,138,70,77,45,35,54,26,27
S01005827,401,42,69,54,78,39,29,45,19,26
S01005828,406,26,44,43,58,54,52,43,29,57
S01005829,367,29,51,49,72,35,32,45,26,28
S01005830,367,13,42,55,60,34,39,37,35,52
S01005831,579,75,134,73,71,70,43,53,26,34
S01005832,299,18,28,30,34,39,26,43,35,46
S01005833,321,19,43,41,38,50,27,44,36,23
S01005834,279,18,22,22,51,33,29,33,27,44
S01005835,408,29,77,61,75,49,23,35,29,30
S01005836,375,33,78,53,79,51,19,35,12,15
S01005837,285,13,46,44,49,26,22,36,28,21
S01005838,337,18,26,31,43,58,30,41,41,49
S01005839,394,20,43,40,62,65,37,38,40,49
S01005840,365,22,50,37,52,39,34,42,25,64
S01005841,342,24,39,47,61,38,35,38,24,36
S01005842,217,8,39,26,33,23,12,26,21,29
S01005843,338,41,60,38,28,61,36,15,33,26
S01005844,368,24,53,49,54,38,41,43,31,35
S01005845,258,24,46,37,44,28,21,24,16,18
S01005846,417,24,50,46,64,43,37,46,37,70
S01005847,358,22,50,37,58,33,39,41,33,45
S01005848,256,10,16,19,37,30,30,32,38,44
S01005849,361,28,53,32,53,43,32,44,42,34
S01005850,342,23,36,32,30,42,35,33,54,57
S01005851,302,19,30,45,50,30,30,31,30,37
S01005852,268,26,20,47,48,39,23,16,17,32
S01005853,390,29,50,41,61,53,31,49,30,46
S01005854,348,11,31,34,42,43,42,41,46,58
S01005855,332,20,42,37,38,43,36,29,32,55
S01005856,352,22,29,42,52,45,54,35,34,39
S01005857,336,31,41,40,38,45,29,46,24,42
S01005858,310,16,28,25,28,42,43,42,43,43
S01005859,387,25,58,52,65,46,35,39,35,32
S01005860,369,16,45,39,67,49,42,39,28,44
S01005861,517,65,116,95,87,35,25,47,29,18
S01005862,376,21,56,50,62,39,32,36,29,51
S01005863,808,94,167,110,118,77,51,73,42,76
S01005864,388,26,42,46,60,48,52,36,42,36
S01005865,273,15,17,31,25,42,31,33,45,34
S01005866,408,37,59,52,76,32,39,40,29,44
S01005867,485,31,62,63,65,55,58,55,49,47
S01005868,374,27,66,58,62,41,33,45,18,24
S01005869,272,20,23,21,24,49,27,42,29,37
S01005870,295,13,44,43,49,33,29,35,25,24
S01005871,300,28,51,43,42,32,22,33,22,27
S01005872,347,26,49,41,65,33,26,38,42,27
S01005873,445,25,45,69,72,64,36,56,31,47
S01005874,285,13,12,24,32,36,44,28,40,56
S01005875,449,33,72,67,68,46,47,45,28,43
S01005876,367,26,107,58,50,43,26,32,12,13
S01005877,425,29,69,51,78,38,30,49,48,33
S01005878,370,47,65,62,68,43,22,27,20,16
S01005879,306,19,38,36,55,34,28,33,33,30
S01005880,275,13,27,22,35,44,43,29,28,34
S01005881,346,14,41,40,52,35,39,40,35,50
S01005882,833,203,212,150,78,55,25,59,24,27
S01005883,202,8,20,34,35,25,14,13,29,24
S01005884,327,38,71,49,43,33,18,26,17,32
S01005885,321,28,56,46,57,39,21,38,19,17
S01005886,387,35,85,57,77,38,30,36,20,9
S01005887,259,12,37,30,35,31,36,29,25,24
S01005888,296,19,23,34,35,34,24,37,47,43
S01005889,376,33,76,57,53,39,25,37,28,28
S01005890,428,30,78,78,79,53,23,38,27,22
S01005891,247,11,18,23,22,34,25,24,42,48
S01005892,290,19,21,28,38,33,22,38,38,53
S01005893,336,19,31,40,58,30,45,36,37,40
S01005894,356,24,62,52,47,49,22,34,36,30
S01005895,263,28,74,37,36,25,18,24,8,13
S01005896,356,33,66,62,48,34,24,35,26,28
S01005897,342,24,52,35,51,46,46,34,24,30
S01005898,346,32,60,51,56,44,22,36,20,25
S01005899,333,22,68,42,43,48,30,27,24,29
S01005900,267,30,60,41,42,25,23,20,14,12
S01005901,391,38,80,55,47,42,29,46,27,27
S01005902,371,56,121,47,44,23,17,25,18,20
S01005903,453,31,63,64,81,48,49,50,30,37
S01005904,499,39,88,68,78,52,47,46,30,51
S01005905,450,51,57,74,64,49,32,40,48,35
S01005906,379,22,47,48,48,29,40,41,50,54
S01005907,359,24,71,48,41,45,29,35,31,35
S01005908,473,46,96,66,66,46,39,42,29,43
S01005909,263,32,58,39,33,35,14,19,20,13
S01005910,319,31,101,57,36,15,18,32,10,19
S01005911,710,53,159,119,107,62,44,78,51,37
S01005912,397,24,51,62,61,48,46,38,39,28
S01005913,313,13,10,30,35,35,27,39,53,71
S01005914,433,42,82,54,70,45,31,40,34,35
S01005915,288,22,34,38,42,29,31,34,28,30
S01005916,402,63,103,69,54,35,15,35,13,15
S01005917,345,13,21,34,29,57,38,40,56,57
S01005918,405,11,63,59,63,53,44,49,28,35
S01005919,250,25,74,40,46,20,12,19,6,8
S01005920,392,24,39,46,77,41,41,43,39,42
S01005921,337,19,47,59,51,46,24,38,30,23
S01005922,496,36,67,96,70,64,37,57,34,35
S01005923,341,29,39,44,55,28,35,40,31,40
S01005924,341,30,59,77,47,29,22,42,11,24
