,All people aged 16 to 74 in employment,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
S01000291,492,59,106,70,55,55,33,41,33,40
S01000292,526,84,122,69,63,53,44,25,30,36
S01000293,403,51,84,62,25,61,37,32,22,29
S01000294,370,28,85,51,44,56,26,27,21,32
S01000295,267,28,60,39,40,27,17,26,15,15
S01000296,514,59,148,84,56,50,24,37,22,34
S01000297,403,23,60,52,55,59,35,55,26,38
S01000298,617,83,146,99,68,67,33,34,32,55
S01000299,463,57,121,61,36,67,27,30,27,37
S01000300,451,64,83,59,40,79,35,30,29,32
S01000301,315,63,25,23,22,62,29,22,18,51
S01000302,354,59,57,37,37,73,24,15,20,32
S01000303,312,42,44,35,26,57,36,15,25,32
S01000304,441,51,100,70,62,56,31,23,26,22
S01000305,588,40,98,91,90,80,52,60,31,46
S01000306,427,72,100,64,48,66,25,14,10,28
S01000307,556,44,126,90,84,53,37,48,35,39
S01000308,733,101,172,94,103,94,36,34,62,37
S01000309,627,79,132,82,57,109,61,17,40,50
S01000310,605,57,99,85,99,84,43,58,39,41
S01000311,502,69,111,61,33,78,35,34,32,49
S01000312,266,30,24,26,17,46,42,28,28,25
S01000313,365,32,65,46,39,54,37,33,28,31
S01000314,345,21,45,35,51,68,29,39,27,30
S01000315,309,41,99,53,30,31,19,11,6,19
S01000316,403,54,41,32,41,73,35,31,34,62
S01000317,291,14,36,23,22,45,38,35,29,49
S01000318,255,18,61,55,29,29,20,13,8,22
S01000319,413,37,64,63,63,58,37,41,24,26
S01000320,454,26,52,69,79,63,46,40,39,40
S01000321,339,44,54,51,49,50,16,30,25,20
S01000322,528,73,133,84,64,50,44,24,27,29
S01000323,443,34,80,56,39,68,37,35,37,57
S01000324,514,37,66,68,107,67,41,56,41,31
S01000325,665,65,139,91,75,94,43,47,41,70
S01000326,424,27,43,58,70,56,34,39,44,53
S01000327,497,38,75,70,96,64,29,47,38,40
S01000328,342,27,45,43,42,51,27,55,23,29
S01000329,514,48,78,68,76,75,44,42,42,41
S01000330,665,91,169,88,61,92,48,33,33,50
S01000331,271,18,41,26,20,47,35,17,27,40
S01000332,335,46,89,35,35,37,35,10,20,28
S01000333,518,79,159,59,53,63,33,13,34,25
S01000334,445,28,51,60,46,74,56,40,41,49
S01000335,401,44,84,55,42,61,31,32,28,24
S01000336,770,109,158,115,82,88,46,28,71,73
S01000337,373,50,94,49,29,69,20,19,9,34
S01000338,262,23,47,32,29,37,20,14,29,31
S01000339,581,62,130,87,53,84,53,42,31,39
S01000340,613,75,123,73,71,132,36,21,35,47
S01000341,514,55,107,46,36,113,44,30,34,49
S01000342,231,14,33,19,19,62,21,8,27,28
S01000343,336,39,70,30,29,66,34,19,25,24
S01000344,538,53,93,50,49,113,50,34,43,53
S01000345,336,23,59,45,60,39,27,27,28,28
S01000346,339,26,74,64,55,26,29,29,19,17
S01000347,860,104,232,156,100,79,50,41,41,57
S01000348,441,33,75,78,68,58,43,34,26,26
S01000349,300,18,64,49,43,36,26,27,12,25
S01000350,606,70,127,98,92,54,55,47,22,41
S01000351,551,45,138,83,79,58,38,41,27,42
S01000352,392,35,101,61,58,41,21,28,17,30
S01000353,297,33,79,43,46,26,20,15,16,19
S01000354,908,96,210,152,125,100,68,45,58,54
S01000355,365,36,75,51,57,32,31,34,23,26
S01000356,354,33,93,46,37,66,20,7,27,25
S01000357,388,22,100,54,57,31,35,37,23,29
S01000358,529,67,129,95,80,45,20,41,30,22
S01000359,467,76,144,69,60,25,23,39,10,21
S01000360,274,31,34,27,16,84,25,11,15,31
S01000361,373,54,88,45,37,65,27,20,17,20
S01000362,579,51,119,91,73,91,42,32,35,45
S01000363,680,96,145,97,77,105,42,35,46,37
S01000364,532,45,114,75,51,117,41,27,27,35
S01000365,"1,229",108,276,227,185,146,67,67,87,66
S01000366,"1,155",148,284,208,140,134,59,55,67,60
S01000367,470,46,94,65,59,75,28,30,33,40
S01000368,682,79,139,86,74,99,58,40,45,62
S01000369,551,52,83,72,77,82,46,40,57,42
S01000370,874,96,190,158,106,114,53,50,59,48
S01000371,450,41,76,57,50,76,44,25,48,33
S01000372,518,52,95,62,49,79,44,37,37,63
S01000373,359,38,76,59,54,48,25,17,18,24
S01000374,331,27,49,40,38,54,36,20,32,35
S01000375,329,16,45,38,40,56,33,25,38,38
S01000376,411,23,32,39,37,68,41,45,56,70
S01000377,526,63,134,79,54,83,33,30,29,21
S01000378,272,28,27,21,30,39,31,36,25,35
S01000379,378,53,100,62,33,47,24,21,18,20
S01000380,586,67,116,101,73,65,37,44,39,44
S01000381,861,97,182,145,100,101,56,66,61,53
S01000382,406,50,103,55,30,63,31,20,24,30
S01000383,709,67,135,115,94,88,49,39,66,56
S01000384,380,38,51,42,21,106,34,15,31,42
S01000385,351,31,62,54,35,50,38,26,25,30
S01000386,689,83,122,92,71,103,67,45,50,56
S01000387,481,60,84,63,64,67,41,27,34,41
S01000388,619,71,149,81,93,83,36,34,46,26
S01000389,529,47,105,96,75,55,37,40,38,36
S01000390,425,24,61,41,49,74,41,37,29,69
S01000391,361,33,56,40,32,64,38,37,23,38
S01000392,490,55,109,102,58,50,38,20,29,29
S01000393,438,49,85,48,46,64,33,38,29,46
S01000394,371,24,46,57,41,60,30,44,26,43
S01000395,437,40,95,65,45,87,37,13,21,34
S01000396,385,17,29,44,34,65,55,42,31,68
S01000397,477,27,79,80,61,86,34,37,28,45
S01000398,"1,425",163,339,240,160,201,81,80,73,88
S01000399,375,34,36,41,50,74,24,33,29,54
S01000400,446,29,61,43,46,90,46,47,29,55
S01000401,517,44,119,60,48,107,35,21,42,41
S01000402,430,31,69,53,70,59,29,30,43,46
S01000403,447,30,66,59,58,74,40,38,26,56
S01000404,428,28,63,62,52,77,30,47,31,38
S01000405,309,36,58,38,45,47,16,17,23,29
S01000406,310,23,34,30,37,71,26,17,24,48
S01000407,345,24,32,46,40,63,31,37,34,38
S01000408,385,31,71,75,60,42,22,31,26,27
S01000409,373,30,52,42,48,65,33,41,39,23
S01000410,452,42,103,67,35,77,27,21,27,53
S01000411,425,39,106,72,45,72,29,16,23,23
S01000412,487,58,93,64,49,74,30,23,40,56
S01000413,471,59,97,80,55,56,32,19,26,47
S01000414,428,50,109,58,54,52,36,22,27,20
S01000415,505,50,90,61,45,96,51,29,39,44
S01000416,509,45,86,76,66,74,34,35,56,37
S01000417,555,48,93,64,62,97,55,32,50,54
S01000418,411,23,79,41,37,107,37,19,31,37
S01000419,864,103,199,128,111,135,55,39,44,50
S01000420,697,56,148,99,83,98,55,47,44,67
S01000421,466,59,94,77,51,66,34,21,33,31
S01000422,465,53,84,62,50,74,38,28,29,47
S01000423,588,73,131,82,62,91,38,39,39,33
S01000424,426,46,71,70,51,74,33,21,31,29
S01000425,439,48,89,52,40,88,31,25,30,36
S01000426,474,42,100,68,56,83,32,21,32,40
S01000427,484,26,70,71,59,91,39,39,47,42
S01000428,378,32,60,65,45,51,41,38,26,20
S01000429,482,31,91,71,60,70,37,36,43,43
S01000430,261,26,59,36,25,46,21,17,16,15
S01000431,320,30,50,38,34,42,32,25,36,33
S01000432,444,36,105,64,44,59,33,31,37,35
S01000433,256,23,29,32,28,40,23,18,28,35
S01000434,324,16,37,26,39,57,33,43,25,48
S01000435,308,14,39,32,36,59,24,42,25,37
S01000436,385,32,72,49,48,55,37,33,30,29
S01000437,506,45,76,60,67,80,43,38,49,48
S01000438,346,37,68,48,64,46,31,18,18,16
S01000439,484,53,79,64,45,92,39,32,33,47
S01000440,643,58,128,96,70,131,43,29,36,52
S01000441,453,36,58,41,35,113,45,30,48,47
S01000442,483,52,92,60,60,82,41,26,36,34
S01000443,356,37,79,46,36,65,18,18,23,34
S01000444,"1,463",182,315,250,160,173,98,118,76,91
S01000445,691,64,117,96,66,118,64,42,61,63
S01000446,584,65,105,64,66,116,51,25,45,47
S01000447,427,41,44,52,51,91,33,24,40,51
S01000448,504,49,83,60,52,108,33,26,42,51
S01000449,359,41,50,48,29,51,34,18,45,43
S01000450,319,26,42,49,43,52,25,22,41,19
S01000451,471,49,89,58,47,90,29,28,40,41
S01000452,349,19,64,55,39,62,15,20,29,46
S01000453,332,24,40,32,30,106,22,13,26,39
S01000454,206,12,27,21,18,43,21,15,19,30
S01000455,479,49,64,50,37,119,40,23,42,55
S01000456,603,47,99,54,57,138,50,27,45,86
S01000457,355,34,58,28,42,58,42,21,34,38
S01000458,554,63,103,77,66,119,33,25,32,36
S01000459,517,35,68,59,50,90,52,48,46,69
S01000460,302,11,14,14,26,57,42,33,47,58
S01000461,405,31,33,26,35,86,51,36,52,55
