,All people aged 3 and over,Proficiency in spoken English: Speaks well or very well,Proficiency in spoken English: Does not speak well,Proficiency in spoken English: Does not speak at all,Gaelic: Can speak Gaelic,Scots: Can speak Scots,Language other than English used at home: English only,Language other than English used at home: Gaelic,Language other than English used at home: Scots,Language other than English used at home: British Sign Language,Language other than English used at home: Polish,Language other than English used at home: Other
S01002875,514,505,7,2,3,187,471,2,10,-,4,27
S01002876,645,621,20,4,5,241,582,-,13,-,32,18
S01002877,718,701,15,2,4,305,679,-,8,-,19,12
S01002878,506,496,9,1,-,177,462,-,12,-,9,23
S01002879,789,781,8,-,8,293,759,2,6,2,9,11
S01002880,499,497,2,-,1,178,491,-,3,-,-,5
S01002881,888,880,6,2,7,365,851,-,13,2,1,21
S01002882,756,749,5,2,8,268,734,-,4,-,5,13
S01002883,"1,029","1,019",10,-,1,423,"1,009",-,13,1,-,6
S01002884,765,755,8,2,2,304,725,-,5,2,13,20
S01002885,"1,218","1,208",7,3,4,478,"1,190",-,5,4,-,19
S01002886,792,784,7,1,1,338,772,-,7,5,-,8
S01002887,570,568,2,-,4,268,554,1,3,5,-,7
S01002888,461,460,1,-,1,142,450,-,4,3,-,4
S01002889,814,795,14,5,5,334,747,-,19,5,27,16
S01002890,641,635,6,-,-,250,604,-,6,6,10,15
S01002891,714,710,4,-,5,297,682,-,6,-,5,21
S01002892,622,613,9,-,2,254,608,-,3,1,4,6
S01002893,"1,084","1,055",24,5,-,399,"1,005",-,11,11,9,48
S01002894,796,783,12,1,1,265,752,1,11,2,1,29
S01002895,568,559,7,2,2,251,552,-,9,-,4,3
S01002896,662,658,3,1,1,274,642,-,7,5,-,8
S01002897,569,562,6,1,4,230,540,-,13,1,2,13
S01002898,947,942,5,-,2,377,930,-,6,1,-,10
S01002899,511,504,6,1,1,172,487,-,3,-,1,20
S01002900,635,619,11,5,2,302,609,1,5,-,9,11
S01002901,774,767,7,-,2,351,746,1,17,-,6,4
S01002902,712,709,3,-,8,359,678,1,15,1,7,10
S01002903,817,807,10,-,4,372,791,1,11,1,1,12
S01002904,682,672,9,1,3,258,669,-,8,-,2,3
S01002905,716,709,7,-,3,271,680,-,9,1,3,23
S01002906,779,765,11,3,2,297,741,-,5,-,9,24
S01002907,587,581,6,-,5,231,568,1,5,2,2,9
S01002908,764,764,-,-,-,264,756,-,2,-,3,3
S01002909,748,742,6,-,5,338,709,-,8,3,-,28
S01002910,990,981,9,-,-,401,972,-,12,-,2,4
S01002911,833,822,10,1,2,363,817,-,5,2,4,5
S01002912,"1,310","1,290",17,3,3,437,"1,241",-,6,8,2,53
S01002913,729,726,3,-,2,253,704,-,3,-,4,18
S01002914,606,598,8,-,3,259,577,1,10,5,3,10
S01002915,858,844,12,2,2,320,820,-,13,-,4,21
S01002916,701,698,3,-,6,309,687,-,2,2,2,8
S01002917,572,570,2,-,2,266,546,-,12,1,2,11
S01002918,720,718,2,-,3,173,704,-,4,1,-,11
S01002919,834,822,10,2,3,344,769,-,7,4,11,43
S01002920,553,549,4,-,-,264,520,-,17,1,-,15
S01002921,626,623,2,1,3,213,608,-,8,4,-,6
S01002922,469,466,3,-,4,195,462,-,6,-,-,1
S01002923,606,601,4,1,1,230,573,1,14,1,-,17
S01002924,635,628,5,2,8,237,612,-,5,3,4,11
S01002925,"1,376","1,359",17,-,2,423,"1,322",-,8,8,1,37
S01002926,728,713,10,5,1,296,703,-,5,6,-,14
S01002927,742,732,9,1,2,288,712,-,6,4,9,11
S01002928,522,519,3,-,-,184,507,-,8,-,1,6
S01002929,710,706,4,-,5,360,690,5,8,2,5,-
S01002930,552,549,3,-,-,170,512,-,3,2,-,35
S01002931,875,860,13,2,2,336,842,-,6,3,2,22
S01002932,654,650,4,-,-,188,633,-,4,2,-,15
S01002933,774,770,3,1,1,329,737,-,12,3,-,22
S01002934,817,811,6,-,2,383,800,-,9,2,-,6
S01002935,885,880,5,-,5,318,847,1,9,2,2,24
S01002936,748,743,5,-,3,266,729,-,3,-,4,12
S01002937,463,459,3,1,1,156,433,-,9,2,-,19
S01002938,763,753,10,-,2,341,699,-,23,-,5,36
S01002939,526,524,2,-,1,212,512,-,11,-,2,1
S01002940,604,601,3,-,4,239,585,-,8,-,-,11
S01002941,895,888,7,-,3,330,868,-,14,-,4,9
S01002942,417,415,1,1,5,204,399,1,4,-,1,12
S01002943,656,649,7,-,4,266,631,1,12,-,-,12
S01002944,"1,120","1,114",6,-,2,466,"1,059",-,15,-,-,46
S01002945,552,552,-,-,3,214,539,1,5,-,-,7
S01002946,"1,068","1,065",3,-,2,343,"1,026",1,13,1,1,26
S01002947,612,610,2,-,1,206,591,-,12,-,-,9
S01002948,761,755,6,-,3,230,733,1,15,-,-,12
S01002949,529,529,-,-,7,183,513,1,3,-,-,12
S01002950,749,747,2,-,3,304,725,-,14,4,-,6
S01002951,902,899,3,-,3,257,837,1,11,1,5,47
S01002952,566,565,1,-,1,242,552,-,8,-,-,6
S01002953,879,873,6,-,2,288,838,-,7,2,10,22
S01002954,808,803,4,1,3,285,780,2,8,6,-,12
S01002955,"1,093","1,087",5,1,3,440,"1,069",-,9,2,-,13
S01002956,740,737,3,-,1,290,712,-,15,2,-,11
S01002957,864,859,4,1,3,312,833,-,12,4,-,15
S01002958,560,558,2,-,2,170,525,1,9,-,4,21
S01002959,932,924,8,-,5,295,908,-,7,-,3,14
S01002960,608,606,2,-,6,235,591,3,9,-,-,5
S01002961,796,790,5,1,1,320,757,-,8,1,3,27
S01002962,618,615,3,-,5,254,602,1,3,6,1,5
S01002963,777,768,8,1,2,331,755,-,8,1,-,13
S01002964,624,623,1,-,3,174,594,1,3,-,-,26
S01002965,864,861,3,-,6,278,839,-,9,2,-,14
S01002966,668,650,16,2,3,239,647,-,4,-,5,12
S01002967,854,851,3,-,2,291,820,-,13,3,-,18
S01002968,"1,400","1,381",14,5,6,328,"1,266",-,15,1,18,100
S01002969,991,981,8,2,4,285,961,-,4,2,6,18
S01002970,597,593,3,1,3,208,558,1,13,-,13,12
S01002971,"1,205","1,201",4,-,7,388,"1,138",1,23,2,13,28
S01002972,"1,075","1,058",17,-,11,345,978,-,7,1,17,72
S01002973,845,832,11,2,4,252,813,-,8,1,-,23
S01002974,"1,058","1,055",3,-,1,326,"1,031",-,9,-,-,18
S01002975,577,563,10,4,-,180,523,-,4,3,19,28
S01002976,854,842,12,-,4,276,796,-,15,2,20,21
S01002977,687,679,6,2,1,207,647,-,4,1,3,32
S01002978,"1,039","1,030",5,4,7,334,996,2,14,-,-,27
S01002979,687,681,5,1,4,244,664,-,9,-,5,9
S01002980,723,714,9,-,5,267,676,-,2,4,2,39
S01002981,713,708,4,1,2,221,657,-,4,3,3,46
S01002982,613,609,3,1,3,117,559,-,7,3,5,39
S01002983,765,744,15,6,2,219,662,-,7,4,41,51
S01002984,712,704,7,1,4,162,643,-,5,-,19,45
S01002985,572,572,-,-,3,102,528,2,3,3,-,36
S01002986,708,706,2,-,4,248,643,-,4,8,7,46
S01002987,987,977,9,1,6,206,791,1,9,1,11,174
S01002988,680,673,6,1,3,203,640,-,7,-,14,19
S01002989,965,946,17,2,4,241,800,-,2,-,33,130
S01002990,677,674,3,-,4,99,591,-,-,1,8,77
S01002991,"1,226","1,200",24,2,5,139,902,-,2,2,1,319
S01002992,791,781,5,5,3,125,702,-,1,-,8,80
S01002993,696,692,3,1,4,165,652,-,4,-,2,38
S01002994,"1,127","1,120",5,2,9,116,881,1,4,4,13,224
S01002995,578,569,7,2,1,37,445,-,-,1,11,121
S01002996,"2,668","2,639",29,-,10,213,"1,892",1,2,3,10,760
S01002997,768,759,9,-,1,60,603,-,2,2,3,158
S01002998,779,772,5,2,3,300,756,-,11,2,-,10
S01002999,"1,040","1,040",-,-,2,76,846,-,2,2,6,184
S01003000,661,656,5,-,2,207,596,-,9,6,3,47
S01003001,574,572,1,1,-,244,559,-,3,-,-,12
S01003002,879,868,11,-,6,366,834,2,25,4,4,10
S01003003,572,569,3,-,4,165,551,-,8,3,6,4
S01003004,406,403,2,1,1,146,392,-,7,-,-,7
S01003005,546,539,7,-,2,154,521,2,8,-,3,12
S01003006,"1,050","1,047",3,-,2,331,"1,009",-,5,-,3,33
S01003007,734,730,4,-,9,207,714,-,12,-,-,8
S01003008,882,869,13,-,2,131,855,-,-,2,3,22
S01003009,526,524,2,-,1,191,504,1,4,2,4,11
S01003010,680,677,2,1,7,214,660,-,12,-,-,8
S01003011,730,730,-,-,1,159,703,-,2,5,-,20
S01003012,917,915,2,-,3,241,887,-,3,-,2,25
S01003013,616,615,1,-,-,142,596,-,8,-,-,12
S01003014,651,651,-,-,-,154,618,-,7,-,2,24
S01003015,724,720,4,-,4,165,703,1,2,2,-,16
S01003016,445,441,3,1,1,111,419,-,8,-,-,18
S01003017,695,690,5,-,3,180,661,-,7,-,-,27
S01003018,825,808,17,-,3,230,809,-,2,-,-,14
S01003019,794,789,4,1,6,303,777,-,2,3,3,9
S01003020,657,649,8,-,6,206,621,5,5,3,2,21
S01003021,652,649,3,-,2,188,611,1,5,2,-,33
S01003022,937,931,3,3,5,276,897,-,10,3,2,25
S01003023,679,676,1,2,3,220,653,-,3,1,2,20
S01003024,632,629,3,-,1,207,605,-,6,2,3,16
S01003025,828,824,4,-,4,132,804,1,4,-,2,17
S01003026,794,781,11,2,4,195,745,2,2,3,9,33
S01003027,"1,003",993,10,-,6,215,917,2,3,1,-,80
S01003028,763,758,3,2,3,262,739,1,8,5,3,7
S01003029,"1,053","1,027",26,-,11,316,"1,001",2,3,6,16,25
S01003030,"1,293","1,289",4,-,-,418,"1,243",-,8,3,6,33
S01003032,576,564,9,3,2,201,555,-,8,3,-,10
S01003033,469,466,3,-,4,185,456,4,6,-,1,2
S01003034,898,874,21,3,8,234,806,9,-,1,3,79
S01003035,985,960,17,8,4,350,909,-,3,6,21,46
S01003036,909,904,4,1,3,291,885,-,1,4,1,18
S01003037,"2,016","1,924",70,22,17,409,"1,375",9,4,1,8,619
S01003038,855,817,36,2,3,161,596,3,-,5,-,251
S01003039,854,811,37,6,2,272,708,-,3,1,91,51
S01003040,865,857,8,-,3,234,829,1,2,1,11,21
S01003041,676,637,32,7,2,127,479,-,2,-,-,195
S01003042,590,574,13,3,3,232,528,1,5,1,8,47
S01003043,546,510,29,7,9,181,430,-,5,7,36,68
S01003044,"1,298","1,275",18,5,5,466,"1,240",3,6,12,6,31
S01003045,875,825,46,4,8,319,673,2,6,1,131,62
S01003046,720,704,14,2,6,238,638,-,8,6,19,49
S01003047,902,892,7,3,7,295,857,-,2,4,17,22
S01003048,492,479,11,2,2,142,470,-,4,1,-,17
S01003049,529,517,9,3,-,193,508,1,2,4,-,14
S01003050,699,694,5,-,3,142,662,-,2,5,-,30
S01003051,"1,079","1,045",31,3,4,341,967,-,8,2,1,101
S01003052,682,670,12,-,3,214,656,1,6,3,-,16
S01003053,977,949,23,5,2,205,779,-,1,-,-,197
S01003054,783,775,8,-,7,185,747,1,1,3,-,31
S01003055,812,793,12,7,2,293,764,-,3,5,7,33
S01003056,871,799,61,11,6,263,608,3,4,1,168,87
S01003057,656,655,1,-,1,191,640,-,1,-,-,15
S01003058,"1,159","1,119",36,4,7,282,"1,011",6,8,6,5,123
S01003059,874,863,9,2,10,106,787,6,2,-,-,79
S01003060,976,946,24,6,4,287,878,-,2,2,21,73
S01003061,743,737,6,-,9,162,697,7,13,1,-,25
S01003062,799,786,9,4,6,190,742,4,3,3,6,41
S01003063,761,750,11,-,-,201,730,-,3,-,-,28
S01003064,808,797,6,5,1,259,788,-,-,6,6,8
S01003065,966,962,4,-,9,212,909,4,5,-,8,40
S01003066,784,779,4,1,4,135,745,4,-,1,1,33
S01003067,597,590,6,1,7,94,571,-,1,2,2,21
S01003068,787,785,1,1,6,145,763,2,1,-,-,21
S01003069,554,539,9,6,3,142,506,1,3,-,2,42
S01003070,775,754,19,2,6,180,687,-,4,1,8,75
S01003071,642,629,8,5,8,83,574,5,-,-,-,63
S01003072,987,963,21,3,6,337,901,1,4,6,2,73
S01003073,681,679,1,1,8,201,658,3,-,1,8,11
S01003074,699,683,14,2,4,102,580,-,4,3,6,106
S01003075,706,700,6,-,5,233,661,2,1,2,1,39
S01003076,856,765,55,36,5,239,568,-,8,2,28,250
S01003077,928,902,19,7,11,287,850,3,1,4,3,67
S01003078,656,648,8,-,7,137,630,2,-,4,1,19
S01003079,884,869,14,1,7,161,782,1,-,2,5,94
S01003080,789,783,4,2,11,235,741,5,-,2,14,27
S01003081,983,923,48,12,5,167,565,2,-,2,9,405
S01003082,"1,088","1,046",40,2,5,375,978,-,2,1,21,86
S01003083,"1,158","1,131",21,6,5,396,"1,081",3,9,1,5,59
S01003084,806,798,7,1,2,251,763,1,4,-,3,35
S01003085,944,935,8,1,7,166,876,3,4,6,3,52
S01003086,616,595,17,4,1,81,434,-,2,-,3,177
S01003087,630,623,6,1,2,179,585,1,2,1,9,32
S01003088,"1,139","1,120",16,3,9,383,"1,092",1,4,2,5,35
S01003089,697,685,11,1,5,109,567,1,4,1,4,120
S01003090,718,712,4,2,4,141,642,1,7,-,1,67
S01003091,556,550,4,2,12,126,521,3,1,2,7,22
S01003092,786,776,10,-,3,171,702,-,3,-,2,79
S01003093,955,929,25,1,6,239,821,1,3,2,2,126
S01003094,976,960,14,2,11,152,842,5,4,3,2,120
S01003095,739,733,6,-,6,60,622,6,5,2,-,104
S01003096,682,661,16,5,8,119,568,3,4,5,-,102
S01003097,268,262,5,1,1,70,256,-,1,1,-,10
S01003098,"1,142","1,130",12,-,9,272,"1,065",3,4,4,5,61
S01003099,530,521,8,1,6,160,508,3,3,3,4,9
S01003100,788,774,13,1,8,189,698,1,1,-,3,85
S01003101,506,503,3,-,3,160,483,1,3,3,7,9
S01003102,707,702,5,-,-,153,657,-,-,5,-,45
S01003103,712,704,7,1,9,122,627,8,2,-,-,75
S01003104,914,892,21,1,6,253,819,-,16,1,1,77
S01003105,752,738,11,3,4,164,661,3,5,3,2,78
S01003106,701,690,10,1,7,98,660,2,1,2,-,36
S01003107,741,731,8,2,1,289,698,-,18,2,2,21
S01003108,735,730,5,-,9,187,688,2,6,4,2,33
S01003109,878,869,8,1,12,139,800,5,3,-,9,61
S01003110,735,732,1,2,8,80,680,4,7,-,3,41
S01003111,782,763,14,5,4,266,738,1,8,2,12,21
S01003112,924,911,12,1,14,157,835,5,3,6,3,72
S01003113,688,685,3,-,3,157,663,-,-,5,-,20
S01003114,810,788,20,2,3,148,717,2,2,1,4,84
S01003115,"1,020","1,001",15,4,12,197,825,3,4,2,15,171
S01003116,858,844,12,2,9,177,780,5,-,6,8,59
S01003117,746,736,9,1,11,175,660,7,4,-,7,68
S01003118,503,456,39,8,6,114,319,1,2,4,3,174
S01003119,595,582,11,2,11,147,552,-,3,-,3,37
S01003120,"1,449","1,430",18,1,10,300,"1,313",4,1,6,2,123
S01003121,837,821,14,2,2,290,801,-,16,2,-,18
S01003122,704,693,8,3,6,178,651,2,-,6,13,32
S01003123,854,845,6,3,21,232,783,10,7,-,2,52
S01003124,798,792,5,1,12,143,744,4,-,-,3,47
S01003125,814,794,15,5,10,174,692,3,9,1,8,101
S01003126,152,150,2,-,3,38,145,1,3,-,1,2
S01003127,755,738,15,2,6,208,648,-,2,-,4,101
S01003128,715,711,4,-,5,146,673,1,1,-,7,33
S01003129,"1,086","1,073",11,2,13,209,981,6,7,1,11,80
S01003130,760,753,7,-,13,150,692,5,1,2,6,54
S01003131,826,811,12,3,12,163,732,3,3,4,2,82
S01003132,734,690,37,7,6,178,545,-,2,3,70,114
S01003133,"1,300","1,283",16,1,13,182,"1,194",7,2,1,9,87
S01003134,708,699,8,1,4,200,667,2,3,-,3,33
S01003135,723,717,5,1,11,153,667,7,3,1,1,44
S01003136,933,908,24,1,11,170,760,6,-,4,15,148
S01003137,749,729,19,1,5,147,608,-,4,-,9,128
S01003138,"1,007",968,30,9,8,224,874,-,10,2,11,110
S01003139,990,980,9,1,10,209,877,1,3,6,11,92
S01003140,941,932,9,-,3,289,887,1,4,3,-,46
S01003141,727,726,1,-,9,130,690,-,3,-,-,34
S01003142,898,875,21,2,8,225,796,3,3,4,4,88
S01003143,829,816,11,2,7,149,714,4,7,4,1,99
S01003144,868,861,7,-,3,223,831,1,10,-,3,23
S01003145,604,600,4,-,2,184,594,-,4,3,-,3
S01003146,635,627,5,3,11,105,550,1,8,3,2,71
S01003147,815,804,7,4,2,192,797,3,3,-,-,12
S01003148,658,651,7,-,8,196,633,5,8,4,2,6
S01003149,838,828,8,2,12,169,743,6,1,4,8,76
S01003150,698,684,12,2,2,209,637,-,2,2,6,51
S01003151,786,769,17,-,-,243,730,-,9,-,-,47
S01003152,885,854,25,6,6,186,738,3,4,-,2,138
S01003153,693,681,12,-,3,97,605,-,3,-,3,82
S01003154,936,908,25,3,11,204,743,8,2,6,14,163
S01003155,"1,316","1,303",11,2,17,257,"1,215",16,-,4,6,75
S01003156,812,800,10,2,6,120,705,5,-,-,6,96
S01003157,"1,057","1,016",33,8,15,195,822,4,13,2,19,197
S01003158,586,546,31,9,1,150,372,-,6,-,22,186
S01003159,183,181,2,-,-,50,156,-,5,-,1,21
S01003160,644,633,11,-,4,214,608,2,2,3,1,28
S01003161,619,613,5,1,6,177,599,1,6,-,-,13
S01003162,605,596,8,1,1,183,585,-,3,3,3,11
S01003163,674,661,13,-,2,99,561,-,3,2,1,107
S01003164,785,731,44,10,9,134,427,3,10,3,18,324
S01003165,914,874,34,6,6,172,724,1,5,2,4,178
S01003166,615,603,10,2,6,142,533,2,3,-,4,73
S01003167,923,906,13,4,12,272,860,3,5,2,14,39
S01003168,811,806,2,3,10,159,723,3,7,3,1,74
S01003169,"2,401","2,345",48,8,23,490,"2,003",10,9,5,10,364
S01003170,950,884,52,14,7,134,486,2,1,1,-,460
S01003171,695,650,34,11,3,110,404,-,-,2,1,288
S01003172,714,666,35,13,12,124,433,4,3,1,20,253
S01003173,513,492,18,3,7,89,391,-,1,1,7,113
S01003174,782,709,62,11,10,157,442,4,1,2,14,319
S01003175,779,733,37,9,5,195,573,5,-,2,25,174
S01003176,814,780,30,4,8,153,649,3,6,2,16,138
S01003177,960,937,18,5,14,135,836,9,1,1,-,113
S01003178,840,828,10,2,10,253,771,5,2,-,11,51
S01003179,680,581,79,20,6,75,239,1,-,1,6,433
S01003180,653,642,8,3,-,184,611,-,1,-,-,41
S01003181,865,854,10,1,5,272,836,2,2,1,-,24
S01003182,772,753,14,5,1,212,722,-,4,5,-,41
S01003183,633,588,37,8,13,90,410,7,8,-,19,189
S01003184,815,806,7,2,8,274,779,-,3,5,15,13
S01003185,595,561,29,5,2,157,413,-,1,4,4,173
S01003186,838,818,16,4,14,119,637,7,8,5,3,178
S01003187,992,960,24,8,15,162,800,10,4,6,3,169
S01003188,927,820,91,16,10,150,465,6,2,7,22,425
S01003189,796,708,67,21,13,138,440,4,3,3,27,319
S01003190,699,664,29,6,5,147,496,1,-,1,20,181
S01003191,523,488,27,8,5,113,350,-,9,2,26,136
S01003192,761,728,29,4,9,182,531,3,3,14,25,185
S01003193,"1,611","1,589",18,4,10,386,"1,528",3,3,3,-,74
S01003194,711,702,6,3,1,234,678,-,4,1,13,15
S01003195,761,748,13,-,6,158,725,4,2,-,2,28
S01003196,950,931,15,4,11,126,731,8,-,1,2,208
S01003197,783,775,6,2,1,180,743,-,4,3,6,27
S01003198,934,869,57,8,16,196,626,5,1,-,7,295
S01003199,923,914,8,1,5,254,863,-,1,3,4,52
S01003200,704,670,29,5,6,140,510,-,5,1,17,171
S01003201,240,238,2,-,-,78,227,-,-,-,2,11
S01003202,986,964,17,5,7,276,878,-,5,2,16,85
S01003203,839,830,7,2,17,191,772,12,3,1,4,47
S01003204,906,901,5,-,14,272,848,12,-,5,14,27
S01003205,724,713,7,4,4,243,664,-,11,5,19,25
S01003206,772,720,44,8,5,166,534,1,8,1,32,196
S01003207,774,710,56,8,7,114,374,3,3,2,-,392
S01003208,"1,180","1,155",21,4,4,341,"1,030",-,2,1,46,101
S01003209,552,547,5,-,10,118,509,4,3,-,1,35
S01003210,934,897,24,13,9,128,689,5,5,1,5,229
S01003211,846,753,73,20,4,111,328,-,-,-,4,514
S01003212,671,662,8,1,1,159,624,-,-,-,3,44
S01003213,525,513,12,-,-,158,484,-,-,2,15,24
S01003214,691,683,8,-,2,228,655,2,5,6,2,21
S01003215,857,841,12,4,6,309,816,2,3,2,10,24
S01003216,679,675,3,1,5,185,661,4,4,5,-,5
S01003217,679,649,25,5,2,197,595,-,4,1,52,27
S01003218,652,642,7,3,7,151,610,2,1,6,8,25
S01003219,725,719,6,-,2,178,686,-,-,1,1,37
S01003220,777,712,56,9,2,108,350,2,1,2,1,421
S01003221,857,781,64,12,6,202,645,4,1,1,33,173
S01003222,774,674,74,26,8,111,264,-,1,-,10,499
S01003223,847,822,22,3,7,279,782,-,4,-,38,23
S01003224,640,636,4,-,2,99,625,-,2,-,-,13
S01003225,644,636,7,1,2,159,592,-,3,3,5,41
S01003226,727,709,18,-,1,284,661,-,3,2,3,58
S01003227,"1,521","1,412",91,18,21,263,844,8,6,2,25,636
S01003228,"1,200","1,176",15,9,4,361,"1,130",1,4,5,21,39
S01003229,893,873,16,4,4,103,720,-,3,2,-,168
S01003230,872,859,12,1,20,180,794,13,8,6,4,47
S01003231,856,854,2,-,3,262,844,-,2,-,2,8
S01003232,883,830,45,8,2,161,587,3,10,5,29,249
S01003233,910,900,6,4,2,194,882,-,4,1,2,21
S01003234,857,822,28,7,12,109,603,8,1,-,3,242
S01003235,776,765,7,4,4,211,750,3,7,-,-,16
S01003236,680,608,64,8,7,120,229,4,2,1,2,442
S01003237,892,876,14,2,1,294,866,2,9,8,4,3
S01003238,681,678,2,1,14,149,662,4,4,3,-,8
S01003239,957,925,22,10,8,273,843,2,11,1,20,80
S01003240,677,673,3,1,18,181,640,10,3,3,-,21
S01003241,767,762,4,1,6,194,737,-,2,4,-,24
S01003242,"1,007",987,18,2,17,198,839,14,4,2,8,140
S01003243,837,817,12,8,11,162,794,4,-,-,-,39
S01003244,949,939,9,1,4,275,908,-,2,5,-,34
S01003245,"1,161","1,137",20,4,3,306,"1,048",3,4,3,23,80
S01003246,917,899,17,1,3,248,828,-,2,7,3,77
S01003247,750,731,18,1,2,283,706,1,3,-,17,23
S01003248,"1,089","1,057",27,5,13,291,960,2,2,1,48,76
S01003249,698,677,17,4,2,196,637,1,-,3,25,32
S01003250,591,588,3,-,10,136,546,8,2,1,-,34
S01003251,808,794,14,-,9,268,759,2,-,2,16,29
S01003252,565,560,4,1,2,145,552,1,-,5,-,7
S01003253,959,928,28,3,4,345,876,-,8,5,36,34
S01003254,517,509,5,3,3,181,482,2,7,2,4,20
S01003255,871,857,11,3,11,228,790,7,5,4,10,55
S01003256,"1,353","1,227",92,34,12,278,739,6,-,8,30,570
S01003257,763,704,47,12,7,99,316,3,-,6,1,437
S01003258,745,736,9,-,1,196,726,-,1,1,2,15
S01003259,"1,130","1,115",14,1,3,277,"1,080",-,8,6,9,27
S01003260,698,694,4,-,2,159,670,1,8,1,3,15
S01003261,916,907,8,1,14,144,879,5,5,-,7,20
S01003262,675,641,29,5,8,201,573,1,4,2,64,31
S01003263,979,938,34,7,4,329,807,3,4,3,67,95
S01003264,622,609,11,2,9,147,552,6,3,1,1,59
S01003265,655,651,4,-,23,130,620,9,5,-,-,21
S01003266,718,712,3,3,2,232,702,-,1,7,2,6
S01003267,929,923,6,-,6,304,898,1,4,3,1,22
S01003268,"1,657","1,606",43,8,20,339,"1,390",1,10,6,37,213
S01003269,873,849,18,6,10,251,798,-,2,4,25,44
S01003270,736,706,28,2,7,206,632,-,2,-,41,61
S01003271,"1,767","1,726",28,13,29,422,"1,404",9,13,6,85,250
S01003272,"1,561","1,508",48,5,17,396,"1,331",9,11,4,32,174
S01003273,688,658,24,6,3,208,587,-,2,4,54,41
S01003274,564,544,16,4,4,129,480,-,8,5,8,63
S01003275,993,973,18,2,4,330,963,-,3,1,7,19
S01003276,707,700,6,1,4,193,700,-,1,-,1,5
S01003277,598,591,7,-,4,137,567,-,3,3,-,25
S01003278,810,803,7,-,10,188,760,2,1,1,2,44
S01003279,377,367,10,-,1,130,336,-,2,9,18,12
S01003280,891,860,25,6,10,176,660,3,3,3,7,215
S01003281,484,474,8,2,-,144,458,-,4,1,2,19
S01003282,735,729,6,-,18,170,680,13,-,1,-,41
S01003283,667,662,5,-,3,173,654,-,2,-,-,11
S01003284,918,895,16,7,10,268,865,1,6,12,6,28
S01003285,401,394,5,2,13,115,321,5,9,-,12,54
S01003286,953,925,19,9,7,187,700,3,10,6,5,229
S01003287,586,543,35,8,5,149,383,-,3,1,6,193
S01003288,680,679,1,-,4,140,671,1,1,-,-,7
S01003289,383,362,20,1,-,137,321,-,6,3,16,37
S01003290,816,769,36,11,3,234,702,-,4,2,75,33
S01003291,745,733,10,2,4,253,694,-,6,2,2,41
S01003292,713,703,9,1,1,180,682,-,2,-,3,26
S01003293,770,747,20,3,2,261,716,-,5,1,26,22
S01003294,725,709,14,2,14,201,682,4,4,7,6,22
S01003295,962,946,14,2,2,234,928,-,5,-,-,29
S01003296,760,713,42,5,16,252,639,-,5,3,66,47
S01003297,525,493,27,5,4,100,428,3,1,5,11,77
S01003298,965,943,14,8,10,224,881,-,11,6,7,60
S01003299,434,421,12,1,-,157,407,-,1,-,22,4
S01003300,838,832,5,1,-,239,799,-,7,-,-,32
S01003301,730,701,22,7,3,255,643,-,5,5,28,49
S01003302,651,596,45,10,9,140,410,3,2,1,14,221
S01003303,"2,352","2,288",55,9,37,467,"1,683",6,17,5,55,586
S01003304,693,647,38,8,11,123,417,3,5,4,12,252
S01003305,700,688,10,2,5,217,651,-,2,1,12,34
S01003306,910,904,3,3,8,267,890,1,3,2,-,14
S01003307,"1,039","1,027",10,2,5,305,999,4,11,2,4,19
S01003308,825,814,7,4,3,264,773,2,9,4,3,34
S01003309,907,876,25,6,2,304,849,-,11,3,31,13
S01003310,715,710,3,2,6,190,678,1,1,5,1,29
S01003311,679,674,5,-,2,170,672,-,5,-,-,2
S01003312,561,555,5,1,3,196,525,1,2,6,12,15
S01003313,"1,099","1,061",27,11,8,293,986,1,8,12,7,85
S01003314,627,584,29,14,4,168,524,-,4,3,37,59
S01003315,682,647,32,3,15,114,469,5,1,1,41,165
S01003316,577,552,22,3,25,139,477,12,6,7,14,61
S01003317,615,607,7,1,-,172,587,-,1,-,8,19
S01003318,727,717,6,4,3,195,690,-,-,2,4,31
S01003320,507,471,28,8,12,97,290,4,1,-,21,191
S01003321,676,667,6,3,4,146,642,3,2,1,-,28
S01003322,760,696,57,7,9,148,516,2,1,3,32,206
S01003323,734,727,6,1,-,170,718,-,2,-,-,14
S01003324,439,425,11,3,9,85,332,4,4,2,5,92
S01003325,740,733,5,2,12,212,702,2,-,1,-,35
S01003326,806,791,9,6,12,200,731,6,1,2,5,61
S01003327,586,554,17,15,6,122,366,2,2,2,12,202
S01003328,"1,019","1,009",10,-,27,197,848,2,5,-,16,148
S01003329,783,777,6,-,5,218,761,5,4,-,3,10
S01003330,913,894,13,6,1,220,835,-,6,4,7,61
S01003331,624,602,22,-,6,187,579,-,2,6,26,11
S01003332,398,395,3,-,-,148,386,-,5,-,1,6
S01003333,898,878,17,3,7,288,769,6,6,2,36,79
S01003334,965,951,12,2,7,305,898,1,9,8,7,42
S01003335,642,631,10,1,7,143,555,-,5,2,26,54
S01003336,936,913,22,1,1,344,889,-,4,1,23,19
S01003337,"1,315","1,266",40,9,4,424,"1,226",-,3,8,31,47
S01003338,851,818,28,5,16,173,699,10,6,-,11,125
S01003339,736,729,6,1,2,236,698,2,6,1,-,29
