,All people,England,Northern Ireland,Scotland,Wales,Republic of Ireland,Other EU: Member countries in March 2001 (1),Other EU: Accession countries April 2001 to March 2011,Other countries
S01003408,650,27,3,467,0,5,3,12,133
S01003409,1535,108,34,1124,5,11,22,46,185
S01003410,1452,146,37,813,6,17,74,35,324
S01003411,757,27,4,661,1,2,7,10,45
S01003412,862,28,1,684,3,2,5,63,76
S01003413,741,14,2,686,0,0,2,12,25
S01003414,442,8,1,417,2,2,0,11,1
S01003415,1269,59,26,736,4,11,54,59,320
S01003416,845,20,16,701,3,10,10,8,77
S01003417,940,44,11,715,2,4,16,30,118
S01003418,920,31,7,795,0,11,7,18,51
S01003419,959,14,0,916,0,3,2,3,21
S01003420,464,5,0,444,0,0,7,3,5
S01003421,923,24,5,848,2,9,2,24,9
S01003422,790,18,3,659,2,12,4,30,62
S01003423,779,53,10,449,0,7,28,30,202
S01003424,974,28,3,853,0,5,6,30,49
S01003425,838,80,41,510,3,18,30,19,137
S01003426,1019,47,10,847,3,7,18,27,60
S01003427,941,21,6,868,2,4,8,4,28
S01003428,843,32,1,544,1,2,4,147,112
S01003429,1525,158,40,537,4,22,69,65,630
S01003430,783,76,30,504,1,10,21,21,120
S01003431,696,18,6,636,0,9,3,15,9
S01003432,880,144,59,475,5,14,41,13,129
S01003433,1165,125,37,634,6,19,52,19,273
S01003434,805,14,3,762,1,0,0,15,10
S01003435,731,5,2,704,0,1,1,12,6
S01003436,555,17,1,500,0,1,1,2,33
S01003437,816,131,25,465,1,14,34,24,122
S01003438,1411,121,29,646,2,26,74,15,498
S01003439,1153,56,24,865,0,16,8,15,169
S01003440,480,15,2,448,1,1,3,0,10
S01003441,1339,59,6,918,2,7,8,176,163
S01003442,1013,19,3,794,0,8,6,23,160
S01003443,970,30,1,664,1,6,5,30,233
S01003444,777,13,0,706,1,2,4,37,14
S01003445,1074,24,1,766,0,3,9,33,238
S01003446,452,41,11,238,1,5,15,7,134
S01003447,2551,224,115,1364,5,46,114,37,646
S01003448,705,10,3,658,0,4,9,1,20
S01003449,831,108,20,450,4,7,38,23,181
S01003450,976,104,22,664,2,11,33,13,127
S01003451,916,85,24,630,0,19,19,14,125
S01003452,1407,56,8,1304,0,2,8,2,27
S01003453,1317,185,26,809,2,12,81,27,175
S01003454,664,82,14,400,2,7,17,6,136
S01003455,795,21,1,760,1,0,2,0,10
S01003456,255,0,0,241,1,0,1,3,9
S01003457,1005,26,0,563,0,4,12,47,353
S01003458,1016,25,2,923,3,3,2,13,45
S01003459,890,20,4,765,0,3,16,26,56
S01003460,1057,89,31,691,6,20,45,19,156
S01003461,764,18,1,716,0,3,2,4,20
S01003462,551,11,3,511,0,0,0,18,8
S01003463,692,26,5,311,0,1,12,22,315
S01003464,974,148,38,494,3,7,43,26,215
S01003465,2510,275,34,1642,14,22,82,36,405
S01003466,787,43,10,622,4,7,19,11,71
S01003467,714,10,1,677,1,4,4,5,12
S01003468,839,115,20,458,2,13,44,12,175
S01003469,1016,64,15,823,1,10,19,16,68
S01003470,1139,107,26,708,5,17,56,26,194
S01003471,776,23,0,694,1,3,6,17,32
S01003472,816,29,2,351,2,3,18,16,395
S01003473,969,54,16,691,1,16,12,13,166
S01003474,690,170,26,332,7,4,22,8,121
S01003475,845,58,13,608,1,2,12,17,134
S01003476,1136,29,10,1002,2,4,13,20,56
S01003477,1076,92,18,834,0,9,42,14,67
S01003478,814,78,27,583,2,13,29,13,69
S01003479,844,84,15,612,5,9,33,14,72
S01003480,834,36,5,714,1,11,11,20,36
S01003481,1033,112,23,750,4,16,21,8,99
S01003482,669,23,3,478,1,2,7,3,152
S01003483,533,20,1,493,0,0,2,3,14
S01003484,1127,167,71,583,12,7,42,37,208
S01003485,890,164,29,485,10,7,38,5,152
S01003486,1033,20,1,913,3,0,6,40,50
S01003487,1075,143,32,582,4,25,57,9,223
S01003488,695,10,1,660,1,3,1,6,13
S01003489,1397,33,4,1229,0,7,2,29,93
S01003490,625,26,8,435,0,7,3,7,139
S01003491,85,4,0,71,0,0,1,0,9
S01003492,1077,82,21,608,3,9,9,29,316
S01003493,831,51,9,640,3,9,11,21,87
S01003494,815,70,17,594,3,6,11,12,102
S01003495,936,33,4,736,2,1,3,15,142
S01003496,999,90,24,768,2,19,14,14,68
S01003497,964,119,22,668,5,12,41,19,78
S01003498,1019,62,7,874,2,5,7,2,60
S01003499,1006,81,16,770,2,16,19,10,92
S01003500,676,20,6,411,0,3,5,34,197
S01003501,708,76,31,387,3,8,21,2,180
S01003502,1848,86,4,1625,3,13,8,16,93
S01003503,700,105,27,481,4,11,18,5,49
S01003504,936,187,31,424,7,7,60,19,201
S01003506,1040,141,26,630,7,18,28,20,170
S01003507,522,34,14,292,2,4,22,30,124
S01003508,807,43,7,676,1,6,5,8,61
S01003509,950,132,23,644,1,15,15,10,110
S01003510,407,8,1,359,0,6,1,9,23
S01003511,1101,162,29,774,10,18,28,7,73
S01003512,641,6,1,625,0,1,1,2,5
S01003513,730,114,54,411,3,8,41,10,89
S01003514,897,149,49,524,7,7,50,11,100
S01003515,631,7,1,603,7,1,4,0,8
S01003516,667,20,2,599,2,1,0,6,37
S01003517,752,90,9,474,0,12,43,14,110
S01003518,1032,44,4,882,0,4,14,22,62
S01003519,542,26,9,408,0,3,6,13,77
S01003520,717,109,25,480,1,9,29,16,48
S01003521,531,102,38,289,4,8,24,9,57
S01003522,830,146,27,510,4,15,46,16,66
S01003523,657,11,0,633,0,1,1,2,9
S01003524,1072,89,21,866,4,8,20,6,58
S01003525,1090,119,20,797,2,8,32,13,99
S01003526,1013,170,24,617,1,15,59,19,108
S01003527,889,68,8,755,1,3,9,4,41
S01003528,516,5,1,490,1,6,6,1,6
S01003529,547,8,3,489,1,3,0,0,43
S01003530,821,107,23,561,1,13,30,8,78
S01003531,778,32,2,633,0,0,2,47,62
S01003532,1088,65,12,931,0,10,14,10,46
S01003533,340,19,3,118,0,0,0,2,198
S01003534,903,36,4,775,0,7,8,8,65
S01003535,708,49,8,562,1,5,8,30,45
S01003536,1031,135,17,763,2,12,24,9,69
S01003537,807,52,12,615,4,14,30,17,63
S01003538,630,8,0,602,0,3,1,0,16
S01003539,993,104,10,798,3,8,24,12,34
S01003540,419,11,4,362,0,4,1,9,28
S01003541,935,33,2,384,0,1,3,2,510
S01003542,786,105,11,572,5,12,23,6,52
S01003543,706,17,10,513,0,5,2,34,125
S01003544,529,106,12,330,2,0,22,8,49
S01003545,789,82,13,595,0,11,32,5,51
S01003546,1004,18,0,900,1,3,10,14,58
S01003547,767,88,22,533,2,10,26,6,80
S01003549,800,14,5,735,1,2,1,4,38
S01003550,647,18,0,552,0,1,3,1,72
S01003551,658,17,1,580,0,5,1,6,48
S01003552,1036,147,19,721,8,11,36,5,89
S01003553,654,28,2,571,0,3,9,23,18
S01003554,761,119,26,504,0,11,29,4,68
S01003555,725,122,15,456,4,6,38,8,76
S01003556,700,59,12,578,5,4,9,4,29
S01003557,783,21,3,655,0,3,1,11,89
S01003558,1036,108,15,756,8,12,44,3,90
S01003559,978,102,13,786,6,10,4,10,47
S01003560,1264,94,20,1028,3,8,8,11,92
S01003561,1248,45,9,918,1,6,44,38,187
S01003562,623,22,1,475,0,2,3,33,87
S01003563,530,12,5,494,3,1,2,4,9
S01003564,721,18,2,624,0,2,1,17,57
S01003565,858,14,1,807,0,1,0,2,33
S01003566,725,113,36,457,3,17,30,10,59
S01003567,1036,27,5,875,0,5,2,17,105
S01003568,729,94,5,546,2,4,17,4,57
S01003569,717,55,1,621,2,8,3,0,27
S01003570,736,42,3,651,0,4,4,3,29
S01003571,880,35,4,726,1,3,4,22,85
S01003572,1083,35,3,928,0,6,9,8,94
S01003573,924,12,2,868,0,3,5,7,27
S01003574,1028,134,27,708,6,15,38,11,89
S01003575,854,27,3,641,1,7,7,59,109
S01003576,845,94,6,613,5,6,19,8,94
S01003577,947,10,0,909,0,5,3,1,19
S01003578,217,3,1,202,1,2,0,0,8
S01003579,868,16,4,781,0,1,2,11,53
S01003580,1018,36,8,831,1,3,1,11,127
S01003581,2299,292,81,1422,11,17,129,103,244
S01003582,671,24,3,575,0,1,2,26,40
S01003583,566,12,1,520,5,0,3,4,21
S01003584,803,21,3,385,0,0,6,52,336
S01003585,675,57,24,451,0,8,18,20,97
S01003586,1053,44,5,730,5,3,5,43,218
S01003587,1104,97,11,930,3,0,8,1,54
S01003588,635,16,3,601,0,1,4,0,10
S01003589,1639,164,16,888,11,8,85,19,448
S01003590,741,27,2,625,1,0,8,13,65
S01003591,1301,63,6,1116,3,3,14,4,92
S01003592,1423,56,15,1147,1,5,20,22,157
S01003593,634,12,1,588,1,3,5,4,20
S01003594,1013,101,16,773,7,7,13,3,93
S01003595,919,17,4,850,1,2,4,8,33
S01003596,783,42,1,588,1,9,13,6,123
S01003597,714,53,7,566,2,6,13,7,60
S01003598,690,9,3,667,0,4,1,0,6
S01003599,969,18,11,851,2,6,6,3,72
S01003600,842,19,2,774,2,1,5,4,35
S01003601,817,37,1,656,0,1,5,12,105
S01003602,628,14,3,597,0,4,0,5,5
S01003603,864,36,3,695,3,5,10,37,75
S01003604,837,66,20,651,3,9,29,15,44
S01003605,666,25,3,506,1,2,4,56,69
S01003606,885,26,1,829,0,4,5,1,19
S01003607,531,4,1,508,0,2,0,3,13
S01003608,557,12,6,505,2,0,0,4,28
S01003609,1066,75,13,891,6,10,8,8,55
S01003610,986,43,1,811,0,1,7,50,73
S01003611,850,21,1,749,2,3,4,9,61
S01003612,883,52,4,728,3,4,5,9,78
S01003613,1454,76,9,1230,1,1,9,6,122
S01003614,547,38,4,473,0,0,9,0,23
S01003615,854,24,2,677,0,0,2,22,127
S01003616,869,22,3,724,1,7,1,0,111
S01003617,828,30,5,648,0,1,6,40,98
S01003618,796,20,2,727,0,1,11,7,28
S01003619,816,24,5,700,2,3,14,14,54
S01003620,1025,79,13,773,3,5,24,21,107
S01003621,939,11,0,911,0,1,3,1,12
S01003622,813,16,3,759,1,5,9,7,13
S01003623,915,53,11,732,2,7,18,0,92
S01003624,1555,55,11,1361,3,13,9,14,89
S01003625,350,23,3,295,0,2,4,5,18
S01003626,808,36,7,707,0,16,5,8,29
S01003627,621,17,1,527,0,1,5,8,62
S01003628,739,14,1,707,0,3,3,2,9
S01003629,759,9,1,720,1,7,3,4,14
S01003630,771,38,3,659,0,4,6,21,40
S01003631,1265,58,14,1060,4,16,22,2,89
S01003632,949,47,17,727,5,5,16,14,118
S01003633,1267,65,9,1111,3,10,7,25,37
S01003634,1027,15,2,963,0,9,3,3,32
S01003635,559,43,5,434,4,7,3,16,47
S01003636,923,15,3,860,1,7,5,4,28
S01003637,1048,50,16,917,1,9,10,6,39
S01003638,758,55,9,592,1,2,17,9,73
S01003639,779,13,3,721,1,3,6,3,29
S01003640,962,29,4,872,1,4,6,15,31
S01003641,736,20,3,671,0,4,2,0,36
S01003642,851,33,4,791,2,4,3,2,12
S01003643,682,22,4,599,0,1,3,8,45
S01003644,966,33,8,853,2,6,5,2,57
S01003645,539,21,2,478,1,2,8,4,23
S01003646,899,27,1,500,1,1,5,51,313
S01003647,724,14,3,667,3,2,6,3,26
S01003648,820,50,18,601,0,5,16,24,106
S01003649,967,19,4,854,0,3,8,5,74
S01003650,742,18,6,653,0,11,8,10,36
S01003651,732,27,0,628,1,4,9,10,53
S01003652,733,13,1,627,3,8,6,12,63
S01003653,715,15,2,680,1,1,2,0,14
S01003654,1123,20,5,1020,0,7,8,5,58
S01003655,660,11,0,634,0,9,1,0,5
S01003656,878,33,6,734,1,1,12,3,88
S01003657,831,13,1,770,0,6,4,13,24
S01003658,859,19,4,797,2,0,4,3,30
S01003659,756,45,13,620,2,6,11,2,57
S01003660,976,31,4,874,0,7,5,0,55
S01003661,947,43,16,811,2,4,8,9,54
S01003662,642,17,7,530,2,2,1,8,75
S01003663,585,22,5,501,0,5,4,4,44
S01003664,506,15,3,452,0,4,1,11,20
S01003665,645,15,1,497,0,1,3,39,89
S01003666,663,11,1,619,3,5,3,2,19
S01003667,838,22,5,785,2,2,4,4,14
S01003668,783,28,2,725,0,4,4,2,18
S01003669,927,16,0,894,0,3,3,4,7
S01003670,950,21,7,855,0,5,4,5,53
S01003671,666,22,5,589,2,4,6,7,31
S01003672,751,19,0,696,0,3,2,11,20
S01003673,316,5,1,284,1,1,0,0,24
S01003674,783,23,3,727,0,6,4,1,19
S01003675,879,68,11,658,1,13,14,6,108
S01003676,1198,80,29,916,1,11,15,15,131
S01003677,692,23,1,635,0,4,0,18,11
S01003678,685,8,0,658,1,3,1,1,13
S01003679,1028,27,3,901,2,1,3,11,80
S01003680,623,9,2,590,0,3,4,5,10
S01003681,565,16,1,526,0,1,1,5,15
S01003682,1043,56,6,914,3,7,8,1,48
S01003683,623,14,5,586,0,0,4,0,14
S01003684,794,22,6,721,1,6,8,2,28
S01003685,550,8,4,526,0,1,1,3,7
S01003686,948,16,4,856,1,2,1,15,53
S01003687,657,26,1,611,1,2,4,6,6
S01003688,883,17,1,844,2,4,1,4,10
S01003689,667,22,0,620,1,0,4,3,17
S01003690,942,27,2,823,0,8,4,3,75
S01003691,1028,18,4,956,1,5,9,1,34
S01003692,1022,22,4,946,0,6,9,7,28
S01003693,550,12,4,513,0,2,4,0,15
S01003694,986,32,6,895,1,7,8,2,35
S01003695,1125,84,18,858,2,6,19,35,103
S01003696,1036,35,7,958,1,3,12,3,17
S01003697,930,38,1,848,2,5,3,0,33
S01003698,1010,22,1,957,1,4,5,0,20
S01003699,938,26,2,873,0,2,5,1,29
S01003700,980,16,2,929,1,3,5,3,21
S01003701,991,31,6,860,2,4,10,8,70
S01003702,822,19,3,740,1,1,6,9,43
S01003703,1052,21,4,955,0,10,7,8,47
S01003704,655,12,0,614,1,3,2,7,16
S01003705,906,22,2,820,2,2,2,15,41
S01003706,749,18,1,679,0,0,8,8,35
S01003707,1078,31,5,1005,3,2,3,0,29
S01003708,964,21,3,857,0,4,5,23,51
S01003709,856,30,1,723,1,5,10,7,79
S01003710,1179,42,3,1063,2,6,1,4,58
S01003711,944,19,2,881,1,1,5,16,19
S01003712,928,31,2,850,0,14,2,9,20
S01003713,512,5,1,496,0,2,0,3,5
S01003714,628,22,2,556,1,2,2,7,36
S01003715,803,16,2,759,0,0,3,3,20
S01003716,575,10,0,551,0,5,2,1,6
S01003717,839,15,0,803,1,1,1,3,15
S01003718,749,17,1,700,1,1,3,6,20
S01003719,660,169,5,439,4,3,13,10,17
S01003720,989,267,6,663,9,2,12,10,20
S01003721,814,142,4,619,4,1,5,11,28
S01003722,896,175,4,654,7,7,16,8,25
S01003723,519,127,3,346,3,3,9,3,25
S01003724,769,69,0,648,5,3,9,20,15
S01003725,614,69,4,475,0,5,4,35,22
S01003726,656,88,1,488,5,7,6,43,18
S01003727,748,63,3,624,2,7,11,28,10
S01003728,558,152,6,372,4,2,9,2,11
S01003729,868,130,6,668,3,2,14,32,13
S01003730,644,48,2,489,2,2,11,71,19
S01003731,617,56,2,489,3,0,2,47,18
S01003732,945,63,4,833,5,3,7,13,17
S01003733,870,63,3,777,2,1,9,7,8
S01003734,709,52,3,619,0,2,11,19,3
S01003735,820,82,11,689,4,1,8,9,16
S01003736,799,47,5,696,2,6,8,19,16
S01003737,611,58,2,533,5,1,2,3,7
S01003738,767,109,5,601,8,3,4,10,27
S01003739,531,184,1,308,9,5,10,0,14
S01003740,618,189,1,386,8,2,8,6,18
S01003741,946,199,6,661,6,2,20,24,28
S01003742,711,142,5,515,6,6,11,1,25
S01003743,557,166,2,354,6,1,5,5,18
S01003744,665,216,13,408,4,1,6,4,13
S01003745,806,100,6,670,4,1,4,1,20
S01003746,837,195,3,593,1,2,8,7,28
S01003747,1094,212,10,793,6,8,15,22,28
S01003748,591,111,4,420,1,1,12,27,15
S01003749,885,156,6,674,4,2,13,10,20
S01003750,715,196,1,466,5,2,13,6,26
S01003751,1108,244,8,699,5,5,24,72,51
S01003752,913,239,2,604,6,2,16,5,39
S01003753,1105,343,7,668,13,2,13,23,36
S01003754,848,119,2,668,6,1,15,17,20
S01003755,1626,308,13,1077,12,11,21,145,39
S01003756,905,254,7,588,3,5,8,12,28
S01003757,608,118,4,470,2,1,5,0,8
S01003758,954,275,4,610,12,4,13,4,32
S01003759,628,162,5,420,8,3,7,4,19
S01003760,840,184,5,588,8,3,11,15,26
S01003761,957,232,6,668,6,4,12,8,21
S01003762,1090,272,6,752,9,5,13,9,24
S01003763,912,200,4,640,12,5,19,7,25
S01003764,878,156,1,663,7,2,1,29,19
S01003765,649,94,0,533,1,2,2,3,14
S01003766,738,135,9,534,0,2,8,18,32
S01003767,812,177,8,529,3,2,10,47,36
S01003768,628,205,0,396,1,0,12,0,14
S01003769,946,259,6,643,6,2,12,0,18
S01003770,819,272,6,490,5,4,16,2,24
S01003771,757,200,2,511,11,0,7,4,22
S01003772,606,160,3,402,5,0,9,14,13
S01003773,692,177,10,479,2,0,9,1,14
S01003774,760,202,2,517,9,3,8,1,18
S01003775,916,295,7,556,6,0,14,4,34
S01003776,700,172,5,474,3,3,10,10,23
S01003777,1114,219,9,826,9,1,13,6,31
S01003778,3225,391,28,2583,9,9,41,82,82
S01003779,501,101,3,369,1,1,12,0,14
S01003780,1074,138,4,881,9,2,9,4,27
S01003781,1129,120,11,928,4,2,9,26,29
S01003782,621,130,1,440,8,3,8,2,29
S01003783,1234,149,16,983,2,10,22,21,31
S01003784,1655,182,9,1348,13,6,16,22,59
S01003785,809,89,5,674,6,2,4,4,25
S01003786,891,91,3,736,3,2,8,12,36
S01003787,591,49,3,510,1,3,6,5,14
S01003788,708,55,1,594,5,0,15,19,19
S01003789,494,58,4,407,5,0,3,3,14
S01003790,570,51,2,470,1,3,6,29,8
S01003791,824,69,7,685,1,4,11,18,29
S01003792,2286,211,13,1845,15,9,24,75,94
S01003793,542,19,1,482,0,1,6,24,9
S01003794,690,118,7,510,5,1,11,10,28
S01003795,648,128,7,473,5,2,7,8,18
S01003796,673,39,6,566,0,1,14,34,13
S01003797,925,63,0,799,7,3,8,28,17
S01003798,846,86,3,710,3,4,4,11,25
S01003799,756,67,6,638,3,2,11,15,14
S01003800,633,83,3,507,3,1,9,11,16
S01003801,816,42,2,699,4,2,15,37,15
S01003802,781,72,1,669,4,1,9,14,11
S01003803,732,126,2,568,5,2,1,6,22
S01003804,620,58,3,517,2,0,10,16,14
S01003805,1202,116,13,940,7,6,16,60,44
S01003806,698,54,6,593,0,3,5,20,17
S01003807,904,83,11,778,4,1,5,10,12
S01003808,936,114,8,780,7,1,5,8,13
S01003809,674,50,0,579,4,3,6,11,21
S01003810,908,96,9,739,4,4,18,7,31
S01003811,687,88,3,551,4,2,6,7,26
S01003812,958,64,6,780,9,4,8,57,30
S01003813,856,63,2,739,2,2,13,15,20
S01003814,786,90,5,644,5,3,5,11,23
S01003815,842,119,6,588,3,4,20,70,32
S01003816,986,107,3,821,4,0,12,9,30
S01003817,1035,52,1,918,0,4,9,38,13
S01003818,803,63,6,667,2,1,5,43,16
S01003819,2446,332,19,1949,15,7,27,30,67
S01003820,1011,110,13,755,4,4,12,69,44
S01003821,763,60,2,640,4,3,4,30,20
S01003822,666,63,12,499,0,6,8,18,60
S01003823,977,96,12,787,2,1,4,36,39
S01003824,816,73,2,562,1,4,14,98,62
S01003825,867,117,30,606,8,1,30,19,56
S01003826,749,110,5,593,5,2,11,3,20
S01003827,817,76,16,656,5,3,10,24,27
S01003828,1145,127,5,931,1,6,22,17,36
S01003829,665,37,6,567,5,1,8,32,9
S01003830,901,61,5,784,4,3,7,20,17
S01003831,584,61,2,495,1,0,5,11,9
S01003832,944,98,13,704,4,9,10,70,36
S01003833,537,66,4,386,4,2,10,46,19
S01003834,651,56,1,550,3,0,7,16,18
S01003835,534,61,2,421,3,0,10,27,10
S01003836,513,62,7,365,4,1,13,25,36
S01003837,836,63,6,676,3,4,10,40,34
S01003838,576,41,6,497,3,2,13,8,6
S01003839,648,48,2,547,0,1,12,29,9
S01003840,696,69,3,587,3,2,9,10,13
S01003841,609,235,1,338,3,2,7,2,21
S01003842,758,137,6,588,3,1,7,0,16
S01003843,953,179,6,720,10,4,4,7,23
S01003844,736,101,4,594,1,1,3,9,23
S01003845,1140,100,9,880,7,2,12,104,26
S01003846,757,266,5,434,7,4,18,0,23
S01003847,608,70,5,508,1,2,8,5,9
S01003848,669,65,5,545,3,1,4,27,19
S01003849,1015,99,5,777,5,7,15,77,30
S01003850,522,61,1,409,0,0,7,19,25
S01003851,822,130,5,649,2,4,9,4,19
S01003852,593,86,4,461,1,0,6,20,15
S01003853,1253,117,14,856,4,7,24,186,45
S01003854,578,74,2,472,3,1,9,9,8
S01003855,978,70,6,813,8,2,9,48,22
S01003856,765,84,3,619,2,0,4,39,14
S01003857,783,202,1,531,5,5,9,3,27
S01003858,534,40,2,471,0,0,7,2,12
S01003859,609,68,3,505,1,2,7,3,20
S01003860,672,57,3,571,2,1,7,17,14
S01003861,776,101,11,598,7,3,8,23,25
S01003862,741,74,4,590,3,1,15,50,4
S01003863,686,112,2,548,2,4,5,0,13
S01003864,921,126,4,756,7,1,10,3,14
S01003865,996,177,13,759,4,1,12,6,24
S01003866,967,249,3,685,6,1,9,3,11
S01003867,1357,164,1,1129,2,2,19,15,25
S01003868,691,123,1,528,5,0,17,3,14
S01003869,712,232,2,428,9,3,7,6,25
S01003870,1046,132,6,867,7,3,9,6,16
S01003871,771,262,1,466,7,0,10,3,22
S01003872,902,176,1,683,5,4,7,14,12
S01003873,1122,272,8,797,4,2,11,6,22
S01003874,831,126,5,646,2,3,11,1,37
S01003875,679,170,4,466,4,6,5,5,19
S01003876,723,111,10,576,5,1,4,0,16
S01003877,688,120,0,537,3,1,10,1,16
S01003878,1089,149,3,882,10,2,15,10,18
S01003879,778,113,3,636,6,3,4,4,9
S01003880,867,128,4,694,7,6,8,3,17
S01003881,887,153,5,681,8,4,12,4,20
S01003882,500,64,3,425,1,0,4,0,3
S01003883,535,83,12,410,0,4,18,1,7
S01003884,766,73,1,678,0,0,10,0,4
S01003885,654,90,4,538,8,5,6,0,3
S01003886,519,57,1,447,1,2,4,4,3
S01003887,1032,133,2,861,5,2,6,2,21
S01003888,1633,385,7,1138,13,8,19,16,47
S01003889,547,55,1,471,1,0,8,5,6
S01003890,663,114,4,517,2,1,9,0,16
S01003891,731,133,7,554,5,3,9,5,15
S01003892,641,98,2,521,6,0,5,3,6
S01003893,633,156,2,432,5,2,12,0,24
S01003894,935,150,7,694,4,6,11,5,58
S01003895,745,82,2,644,1,1,5,1,9
S01003896,724,116,7,561,4,1,7,2,26
S01003897,734,141,5,561,5,0,5,5,12
S01003898,791,150,2,594,3,7,8,2,25
S01003899,800,133,4,630,5,5,8,2,13
S01003900,776,113,5,568,5,3,4,14,64
S01003901,680,125,5,510,4,1,14,2,19
S01003902,1036,183,3,776,6,3,8,36,21
S01003903,901,185,7,646,5,5,10,10,33
S01003904,888,96,1,665,1,7,7,76,35
S01003905,1166,275,6,832,12,2,16,5,18
S01003906,701,60,5,595,2,1,5,22,11
S01003907,748,55,1,638,0,7,4,29,14
S01003908,799,57,2,677,2,0,6,34,21
S01003909,621,69,5,520,1,3,2,4,17
S01003910,727,58,4,624,6,1,3,14,17
S01003911,626,131,1,465,3,1,11,3,11
S01003912,945,100,4,792,1,1,6,24,17
S01003913,727,140,7,549,6,2,6,0,17
S01003914,975,227,3,715,5,4,6,3,12
S01003915,764,201,2,515,3,1,14,10,18
S01003916,845,208,6,581,7,4,10,4,25
S01003917,906,202,8,633,9,2,16,6,30
S01003918,954,139,10,767,8,0,11,4,15
S01003919,612,85,10,478,1,2,2,11,23
S01003920,731,54,2,641,0,2,4,19,9
S01003921,1038,111,4,856,7,5,9,22,24
S01003922,937,128,3,764,8,0,6,13,15
S01003923,761,74,7,649,2,2,2,10,15
S01003924,507,53,4,439,1,3,0,4,3
S01003925,801,72,5,700,2,1,5,4,12
S01003926,580,59,2,492,3,0,3,13,8
S01003927,720,115,1,570,4,2,8,7,13
S01003928,840,89,2,692,5,0,5,25,22
S01003929,548,34,3,496,1,0,1,7,6
S01003930,870,102,1,706,4,0,7,32,18
S01003931,1144,107,4,928,4,3,11,73,14
S01003932,897,128,4,734,2,2,7,5,15
S01003933,701,198,4,456,4,2,17,4,16
S01003934,1016,198,7,759,7,5,13,3,24
S01003935,827,138,2,634,9,1,2,22,19
S01003936,999,226,4,701,7,4,14,15,28
S01003937,745,118,2,584,2,6,9,15,9
S01003938,605,132,4,431,3,0,13,5,17
S01003939,626,127,2,463,8,3,5,4,14
S01003940,1047,132,11,874,1,2,6,14,7
S01003941,614,115,4,477,3,0,6,2,7
S01003942,758,101,0,612,3,3,3,24,12
S01003943,695,76,8,561,2,1,9,27,11
S01003944,646,85,5,529,3,4,5,5,10
S01003945,661,71,4,557,4,3,3,4,15
S01003946,838,224,7,564,6,2,14,8,13
S01003947,631,129,1,474,2,2,8,2,13
S01003948,745,280,7,394,16,8,7,9,24
S01003949,598,167,6,400,7,1,6,3,8
S01003950,606,89,1,474,6,0,4,16,16
S01003951,608,150,6,421,2,1,3,6,19
S01003952,536,114,1,389,3,1,11,8,9
S01003953,577,187,0,365,3,3,2,2,15
S01003954,702,169,4,484,7,0,7,14,17
S01003955,681,125,5,487,2,5,9,19,29
S01003956,749,137,10,530,3,5,12,22,30
S01003957,686,121,0,535,3,3,4,6,14
S01003958,784,125,5,624,4,2,11,1,12
S01003959,747,234,3,473,3,2,9,7,16
S01003960,877,153,3,686,4,2,7,7,15
S01003961,576,86,2,471,2,0,2,0,13
S01003962,706,143,3,534,5,0,6,3,12
S01003963,474,130,5,304,7,1,4,0,23
S01003964,483,140,0,324,3,0,3,6,7
S01003965,576,167,1,377,6,4,6,0,15
S01003966,1009,264,3,709,3,1,11,6,12
S01003967,539,129,1,378,8,0,13,1,9
S01003968,864,200,4,615,8,4,6,11,16
S01003969,762,215,9,508,8,2,7,3,10
S01003970,631,169,3,406,7,0,12,5,29
S01003971,721,216,8,473,5,0,3,0,16
S01003972,785,210,7,524,18,3,8,7,8
S01003973,450,93,1,333,2,3,5,3,10
S01003974,854,243,3,575,3,1,10,2,17
S01003975,829,203,13,597,4,1,3,1,7
S01003976,772,78,5,661,0,2,3,7,16
S01003977,491,36,1,444,2,0,4,0,4
S01003978,512,54,0,432,3,2,5,7,9
S01003979,569,43,7,499,1,1,3,9,6
S01003980,643,58,3,557,7,1,6,2,9
S01003981,544,38,0,483,2,1,7,6,7
S01003982,779,54,1,697,0,1,8,1,17
S01003983,683,46,3,614,2,2,4,4,8
S01003984,623,58,0,543,5,1,3,6,7
S01003985,743,37,1,686,2,0,4,6,7
S01003986,550,37,0,495,0,0,2,12,4
S01003987,688,63,4,606,4,0,4,2,5
S01003988,490,113,2,360,0,1,9,0,5
S01003989,913,164,2,717,15,2,3,0,10
S01003990,522,133,1,364,2,2,12,0,8
S01003991,622,56,0,543,3,0,0,9,11
S01003992,982,178,9,774,3,2,5,3,8
S01003993,694,161,1,509,2,0,6,9,6
S01003994,729,157,3,556,0,1,3,0,9
S01003995,1312,202,4,1062,7,2,3,4,28
S01003996,649,112,2,510,5,0,4,0,16
S01003997,916,91,4,790,4,1,8,5,13
S01003998,565,34,4,508,1,0,3,9,6
S01003999,853,114,0,707,4,1,8,7,12
S01004000,708,56,2,629,4,1,6,4,6
S01004001,620,62,2,544,1,1,3,3,4
S01004002,896,96,1,773,4,0,6,3,13
S01004003,570,61,0,489,4,0,7,2,7
S01004004,731,51,0,665,2,0,4,2,7
S01004005,588,79,0,489,1,1,3,0,15
S01004006,553,84,2,451,2,0,3,6,5
S01004007,611,70,1,521,1,0,1,1,16
S01004008,672,151,0,511,3,0,3,0,4
