Scotland's Census 2011 - National Records of Scotland
"Table KS401SC - Dwellings, household spaces and accommodation type"
All dwellings; All household spaces
, , , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
,All dwellings,All dwellings: Unshared,All dwellings: Shared: Two household spaces,All dwellings: Shared: Three or more household spaces,All household spaces,All household spaces: Occupied,All household spaces: Unoccupied: Second residence/holiday accommodation,All household spaces: Unoccupied: Vacant,All household spaces: Whole house or bungalow: Detached,All household spaces: Whole house or bungalow: Semi-detached,All household spaces: Whole house or bungalow: Terraced (including end-terrace),"All household spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement","All household spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","All household spaces: Flat, maisonette or apartment: In a commercial building",All household spaces: Caravan or other mobile or temporary structure
S01002946,459,459,-,-,459,427,8,24,307,87,37,5,10,-,13
S01002947,289,289,-,-,289,262,9,18,117,87,61,17,5,-,2
S01002948,358,358,-,-,358,340,4,14,137,104,65,48,3,1,-
S01002949,241,241,-,-,241,226,8,7,142,67,25,6,1,-,-
S01002950,326,326,-,-,326,317,2,7,127,120,54,20,3,-,2
S01002951,583,583,-,-,583,453,120,10,195,136,144,72,30,6,-
S01002952,271,271,-,-,271,256,-,15,120,73,50,21,2,5,-
S01002953,579,579,-,-,579,444,120,15,162,131,167,75,34,8,2
S01002954,382,382,-,-,382,356,4,22,125,140,59,41,11,6,-
S01002955,508,508,-,-,508,492,6,10,207,153,71,71,4,-,2
S01002956,352,352,-,-,352,342,2,8,111,84,45,91,12,9,-
S01002957,399,399,-,-,399,379,2,18,159,153,55,26,6,-,-
S01002958,258,258,-,-,258,232,16,10,157,65,29,5,2,-,-
S01002959,459,459,-,-,459,443,7,9,215,141,88,7,7,1,-
S01002960,298,298,-,-,298,278,9,11,166,62,49,13,6,1,1
S01002961,369,369,-,-,369,351,5,13,111,85,78,70,15,10,-
S01002962,273,273,-,-,273,264,-,9,73,117,70,11,2,-,-
S01002963,362,362,-,-,362,355,3,4,80,124,125,26,7,-,-
S01002964,403,403,-,-,403,334,63,6,148,120,111,11,10,2,1
S01002965,404,404,-,-,404,377,6,21,133,108,111,18,1,2,31
S01002966,249,249,-,-,249,245,1,3,75,82,77,9,4,1,1
S01002967,412,412,-,-,412,392,6,14,193,113,68,32,5,-,1
S01002968,598,598,-,-,598,572,10,16,193,194,97,93,2,2,17
S01002969,461,461,-,-,461,453,-,8,287,133,15,20,6,-,-
S01002970,278,278,-,-,278,278,-,-,129,85,17,42,5,-,-
S01002971,535,535,-,-,535,512,2,21,244,176,39,66,8,2,-
S01002972,565,565,-,-,565,544,2,19,97,96,138,146,50,37,1
S01002973,369,369,-,-,369,364,-,5,136,108,46,66,12,1,-
S01002974,418,418,-,-,418,395,6,17,252,78,53,7,8,2,18
S01002975,356,356,-,-,356,333,3,20,41,51,61,146,29,28,-
S01002976,463,463,-,-,463,456,-,7,18,89,63,292,1,-,-
S01002977,361,361,-,-,361,347,1,13,42,94,129,65,23,7,1
S01002978,499,499,-,-,499,484,3,12,227,216,20,25,3,8,-
S01002979,304,304,-,-,304,299,-,5,80,172,35,13,4,-,-
S01002980,348,348,-,-,348,342,-,6,18,118,168,44,-,-,-
S01002981,344,344,-,-,344,333,2,9,202,127,6,7,2,-,-
S01002982,295,295,-,-,295,282,5,8,203,71,15,5,1,-,-
S01002983,388,388,-,-,388,379,2,7,22,131,204,28,3,-,-
S01002984,346,346,-,-,346,329,10,7,165,138,33,9,1,-,-
S01002985,278,278,-,-,278,274,3,1,197,65,11,3,2,-,-
S01002986,337,337,-,-,337,327,2,8,11,113,109,94,8,1,1
S01002987,331,331,-,-,331,327,3,1,27,97,42,147,18,-,-
S01002988,334,334,-,-,334,314,9,11,157,87,83,3,4,-,-
S01002989,502,502,-,-,502,495,4,3,21,80,19,355,27,-,-
S01002990,268,268,-,-,268,251,13,4,44,74,46,74,28,2,-
S01002991,358,358,-,-,358,327,15,16,243,75,9,22,8,1,-
S01002992,359,359,-,-,359,344,11,4,66,107,40,104,37,3,2
S01002993,333,333,-,-,333,311,13,9,191,96,28,7,9,1,1
S01002994,442,442,-,-,442,387,52,3,31,37,98,184,80,11,1
S01002995,236,236,-,-,236,221,11,4,9,15,24,108,28,52,-
S01002996,388,388,-,-,388,332,39,17,40,33,47,141,111,16,-
S01002997,335,334,1,-,336,302,24,10,16,31,63,124,82,20,-
S01002998,369,369,-,-,369,356,4,9,91,76,113,73,15,1,-
S01002999,248,248,-,-,248,209,28,11,13,29,44,63,90,9,-
S01003000,323,323,-,-,323,301,16,6,119,66,66,1,4,1,66
S01003001,282,282,-,-,282,273,6,3,57,100,87,35,1,1,1
S01003002,479,479,-,-,479,434,21,24,105,89,96,137,37,15,-
S01003003,285,285,-,-,285,268,6,11,164,71,40,7,2,-,1
S01003004,236,236,-,-,236,214,12,10,32,52,34,112,5,1,-
S01003005,259,259,-,-,259,237,15,7,141,70,37,3,5,-,3
S01003006,463,463,-,-,463,455,3,5,270,139,49,4,1,-,-
S01003007,336,336,-,-,336,323,6,7,31,165,113,2,6,1,18
S01003008,177,177,-,-,177,164,2,11,35,125,9,7,1,-,-
S01003009,259,259,-,-,259,243,7,9,26,102,86,39,3,3,-
S01003010,329,329,-,-,329,306,7,16,208,80,27,2,6,-,6
S01003011,395,395,-,-,395,275,7,113,83,164,142,1,4,-,1
S01003012,440,440,-,-,440,425,7,8,264,99,54,17,5,1,-
S01003013,281,281,-,-,281,266,10,5,184,57,17,7,15,1,-
S01003014,277,277,-,-,277,271,4,2,91,137,25,10,13,1,-
S01003015,322,322,-,-,322,320,1,1,113,109,65,25,10,-,-
S01003016,207,207,-,-,207,200,2,5,87,39,25,29,27,-,-
S01003017,351,351,-,-,351,333,1,17,53,48,52,117,75,6,-
S01003018,399,399,-,-,399,383,4,12,86,123,29,108,51,2,-
S01003019,368,368,-,-,368,355,-,13,44,105,46,155,15,3,-
S01003020,326,326,-,-,326,311,8,7,51,135,28,103,9,-,-
S01003021,293,293,-,-,293,281,7,5,69,85,48,37,54,-,-
S01003022,442,442,-,-,442,425,6,11,130,153,76,51,24,7,1
S01003023,307,307,-,-,307,299,2,6,115,81,81,21,8,-,1
S01003024,374,374,-,-,374,344,16,14,76,64,47,167,13,7,-
S01003025,369,369,-,-,369,364,-,5,195,46,76,45,7,-,-
S01003026,373,373,-,-,373,364,-,9,95,54,42,171,10,1,-
S01003027,410,410,-,-,410,407,-,3,130,139,19,121,1,-,-
S01003028,404,403,1,-,405,398,-,7,6,40,85,273,1,-,-
S01003029,487,486,1,-,488,488,-,-,53,97,79,255,4,-,-
S01003030,581,581,-,-,581,577,2,2,33,97,156,293,2,-,-
S01003032,258,258,-,-,258,258,-,-,4,14,50,188,2,-,-
S01003033,258,258,-,-,258,255,-,3,1,3,20,232,1,-,1
S01003034,378,378,-,-,378,377,-,1,42,155,85,96,-,-,-
S01003035,450,450,-,-,450,444,1,5,10,91,113,233,3,-,-
S01003036,558,557,1,-,559,555,-,4,6,36,45,469,3,-,-
S01003037,710,710,-,-,710,700,4,6,408,148,53,83,16,2,-
S01003038,301,301,-,-,301,294,5,2,129,130,31,11,-,-,-
S01003039,411,411,-,-,411,407,-,4,3,52,20,335,1,-,-
S01003040,475,475,-,-,475,472,-,3,1,50,67,357,-,-,-
S01003041,258,258,-,-,258,257,-,1,80,119,52,6,1,-,-
S01003042,278,278,-,-,278,270,-,8,4,22,47,203,2,-,-
S01003043,290,290,-,-,290,289,1,-,6,14,28,238,3,-,1
S01003044,556,555,1,-,557,553,-,4,12,70,149,323,2,-,1
S01003045,416,416,-,-,416,416,-,-,7,18,15,373,3,-,-
S01003046,351,351,-,-,351,350,-,1,8,66,96,177,3,1,-
S01003047,476,475,-,1,478,476,-,2,1,11,18,444,4,-,-
S01003048,271,271,-,-,271,270,-,1,1,14,17,237,2,-,-
S01003049,285,285,-,-,285,280,-,5,6,16,24,237,2,-,-
S01003050,301,301,-,-,301,298,-,3,27,222,10,41,1,-,-
S01003051,459,458,1,-,460,460,-,-,22,198,74,163,2,-,1
S01003052,336,336,-,-,336,330,-,6,3,27,87,217,2,-,-
S01003053,392,392,-,-,392,382,10,-,21,226,45,97,3,-,-
S01003054,357,357,-,-,357,354,-,3,3,43,35,275,1,-,-
S01003055,433,433,-,-,433,424,-,9,5,11,11,405,-,1,-
S01003056,433,433,-,-,433,417,-,16,5,5,5,417,1,-,-
S01003057,309,309,-,-,309,302,-,7,3,6,5,292,3,-,-
S01003058,510,510,-,-,510,501,-,9,73,127,34,273,2,1,-
S01003059,419,419,-,-,419,395,3,21,55,48,138,175,2,1,-
S01003060,429,428,-,1,431,428,-,3,65,85,60,219,2,-,-
S01003061,295,295,-,-,295,292,-,3,8,232,40,14,-,-,1
S01003062,381,381,-,-,381,377,2,2,30,173,93,83,2,-,-
S01003063,334,334,-,-,334,333,-,1,3,14,4,306,7,-,-
S01003064,443,442,1,-,444,438,-,6,6,21,8,409,-,-,-
S01003065,617,617,-,-,617,599,-,18,4,51,76,475,4,6,1
S01003066,301,301,-,-,301,301,-,-,8,247,2,43,-,-,1
S01003067,235,235,-,-,235,232,-,3,2,138,72,16,2,5,-
S01003068,391,391,-,-,391,383,-,8,23,92,79,188,8,1,-
S01003069,267,267,-,-,267,266,-,1,11,59,52,140,2,3,-
S01003070,346,346,-,-,346,344,1,1,13,36,51,241,4,1,-
S01003071,296,296,-,-,296,288,1,7,54,82,47,98,14,-,1
S01003072,508,508,-,-,508,486,-,22,3,19,40,445,-,1,-
S01003073,308,308,-,-,308,302,-,6,2,10,7,287,2,-,-
S01003074,260,260,-,-,260,256,-,4,85,113,38,21,3,-,-
S01003075,308,307,-,1,313,310,-,3,1,18,1,283,10,-,-
S01003076,544,542,1,1,548,521,-,27,3,7,8,524,5,1,-
S01003077,503,503,-,-,503,500,-,3,3,13,26,460,1,-,-
S01003078,302,302,-,-,302,293,-,9,12,76,111,98,3,2,-
S01003079,356,355,-,1,360,344,-,16,13,95,118,110,23,1,-
S01003080,351,351,-,-,351,349,-,2,13,13,3,311,11,-,-
S01003081,329,329,-,-,329,320,3,6,106,123,79,20,1,-,-
S01003082,422,422,-,-,422,419,-,3,21,307,22,69,2,-,1
S01003083,596,596,-,-,596,576,4,16,17,192,115,266,5,-,1
S01003084,417,417,-,-,417,415,-,2,11,62,215,128,1,-,-
S01003085,430,430,-,-,430,423,-,7,32,114,126,154,4,-,-
S01003086,219,219,-,-,219,214,-,5,87,52,23,45,12,-,-
S01003087,281,281,-,-,281,269,-,12,4,7,2,263,4,-,1
S01003088,540,539,-,1,543,536,1,6,14,117,62,338,10,2,-
S01003089,282,282,-,-,282,282,-,-,21,41,141,77,1,1,-
S01003090,339,339,-,-,339,324,2,13,16,28,18,271,6,-,-
S01003091,257,257,-,-,257,251,-,6,2,7,4,242,2,-,-
S01003092,354,354,-,-,354,348,-,6,10,51,103,186,4,-,-
S01003093,517,516,-,1,519,507,1,11,6,15,148,347,3,-,-
S01003094,458,458,-,-,458,447,1,10,22,94,97,233,12,-,-
S01003095,261,261,-,-,261,259,-,2,28,175,29,19,10,-,-
S01003096,278,278,-,-,278,274,-,4,156,53,8,54,6,1,-
S01003097,123,123,-,-,123,121,1,1,1,33,24,65,-,-,-
S01003098,864,864,-,-,864,826,2,36,2,5,9,835,10,3,-
S01003099,225,225,-,-,225,224,-,1,6,82,25,111,1,-,-
S01003100,378,378,-,-,378,368,-,10,-,22,63,290,2,1,-
S01003101,218,218,-,-,218,218,-,-,3,117,35,60,2,-,1
S01003102,286,286,-,-,286,285,-,1,3,132,46,104,1,-,-
S01003103,275,275,-,-,275,273,-,2,4,94,155,18,4,-,-
S01003104,595,595,-,-,595,570,3,22,5,10,20,557,1,1,1
S01003105,339,339,-,-,339,332,-,7,4,47,33,250,5,-,-
S01003106,326,326,-,-,326,311,1,14,7,19,174,113,12,-,1
S01003107,313,313,-,-,313,309,3,1,11,116,78,103,1,4,-
S01003108,506,506,-,-,506,488,1,17,-,3,5,496,2,-,-
S01003109,376,376,-,-,376,371,-,5,8,37,243,63,25,-,-
S01003110,300,300,-,-,300,294,-,6,33,152,37,62,14,2,-
S01003111,359,359,-,-,359,359,-,-,5,33,80,240,1,-,-
S01003112,439,439,-,-,439,429,4,6,6,57,158,211,7,-,-
S01003113,280,280,-,-,280,279,-,1,5,101,61,113,-,-,-
S01003114,350,350,-,-,350,348,-,2,3,45,140,157,5,-,-
S01003115,514,514,-,-,514,500,-,14,3,20,141,343,6,1,-
S01003116,594,594,-,-,594,586,1,7,2,3,6,582,1,-,-
S01003117,484,484,-,-,484,464,-,20,1,2,7,474,-,-,-
S01003118,395,392,-,3,406,266,1,139,14,4,6,374,5,2,1
S01003119,278,278,-,-,278,269,-,9,3,11,6,255,3,-,-
S01003120,564,564,-,-,564,561,1,2,245,211,58,48,-,1,1
S01003121,370,370,-,-,370,366,-,4,16,61,35,255,2,1,-
S01003122,331,331,-,-,331,325,-,6,5,74,92,158,2,-,-
S01003123,420,420,-,-,420,416,-,4,77,195,17,129,1,1,-
S01003124,507,507,-,-,507,499,1,7,1,1,4,493,6,2,-
S01003125,474,474,-,-,474,460,1,13,10,1,5,450,8,-,-
S01003126,127,127,-,-,127,121,-,6,1,1,1,122,2,-,-
S01003127,341,341,-,-,341,336,-,5,3,23,16,295,3,-,1
S01003128,554,554,-,-,554,544,1,9,1,2,3,533,15,-,-
S01003129,675,674,-,1,677,652,-,25,4,13,77,574,9,-,-
S01003130,474,474,-,-,474,457,1,16,2,57,32,376,7,-,-
S01003131,466,465,1,-,467,456,-,11,1,2,32,425,7,-,-
S01003132,480,478,2,-,482,470,-,12,1,1,7,470,2,1,-
S01003133,677,677,-,-,677,663,2,12,10,28,76,517,46,-,-
S01003134,344,344,-,-,344,339,-,5,2,1,20,320,1,-,-
S01003135,352,352,-,-,352,346,1,5,6,38,81,225,2,-,-
S01003136,476,476,-,-,476,463,1,12,3,3,31,425,11,3,-
S01003137,385,385,-,-,385,375,-,10,1,2,9,372,-,1,-
S01003138,682,682,-,-,682,662,1,19,12,16,18,623,12,1,-
S01003139,628,628,-,-,628,619,-,9,2,10,19,583,14,-,-
S01003140,431,430,1,-,432,425,-,7,4,33,74,321,-,-,-
S01003141,471,471,-,-,471,463,2,6,1,4,27,432,7,-,-
S01003142,532,531,1,-,533,525,-,8,4,40,38,450,1,-,-
S01003143,466,466,-,-,466,452,2,12,4,7,44,392,19,-,-
S01003144,402,402,-,-,402,399,1,2,2,84,120,196,-,-,-
S01003145,307,307,-,-,307,303,-,4,4,57,235,11,-,-,-
S01003146,432,432,-,-,432,408,1,23,2,1,3,423,2,1,-
S01003147,410,410,-,-,410,404,-,6,7,107,82,211,3,-,-
S01003148,280,280,-,-,280,276,-,4,2,63,198,16,1,-,-
S01003149,591,590,-,1,594,566,-,28,2,-,24,545,23,-,-
S01003150,450,450,-,-,450,409,-,41,-,1,5,443,1,-,-
S01003151,372,372,-,-,372,367,-,5,18,171,49,128,4,2,-
S01003152,497,496,-,1,502,495,-,7,13,24,49,384,32,-,-
S01003153,281,281,-,-,281,277,-,4,9,110,102,55,5,-,-
S01003154,555,555,-,-,555,543,1,11,3,4,15,531,1,1,-
S01003155,499,499,-,-,499,486,11,2,212,247,23,16,-,1,-
S01003156,508,508,-,-,508,494,-,14,2,13,35,429,28,1,-
S01003157,605,605,-,-,605,587,-,18,2,5,4,587,4,3,-
S01003158,444,442,1,1,447,319,-,128,2,3,22,414,4,2,-
S01003159,90,90,-,-,90,81,-,9,1,5,35,48,1,-,-
S01003160,281,281,-,-,281,281,-,-,1,20,114,139,2,5,-
S01003161,260,260,-,-,260,259,-,1,4,51,107,92,6,-,-
S01003162,303,303,-,-,303,302,-,1,10,55,79,159,-,-,-
S01003163,337,337,-,-,337,331,-,6,4,35,92,204,2,-,-
S01003164,276,276,-,-,276,272,-,4,18,26,19,159,53,1,-
S01003165,513,511,2,-,515,497,2,16,4,75,36,397,3,-,-
S01003166,409,409,-,-,409,398,-,11,2,1,3,394,7,2,-
S01003167,375,375,-,-,375,374,-,1,19,150,94,102,1,9,-
S01003168,543,543,-,-,543,519,-,24,3,4,2,531,3,-,-
S01003169,963,963,-,-,963,950,-,13,291,247,183,225,17,-,-
S01003170,321,321,-,-,321,315,-,6,178,48,52,41,2,-,-
S01003171,263,263,-,-,263,232,-,31,119,35,2,84,23,-,-
S01003172,435,434,-,1,437,372,-,65,-,4,2,420,11,-,-
S01003173,283,283,-,-,283,278,-,5,1,1,1,277,2,1,-
S01003174,381,381,-,-,381,370,-,11,2,8,6,361,3,1,-
S01003175,475,474,-,1,477,476,-,1,1,4,3,465,2,2,-
S01003176,491,490,1,-,492,471,2,19,4,3,-,466,18,-,1
S01003177,418,417,1,-,419,415,-,4,3,13,180,120,103,-,-
S01003178,401,401,-,-,401,398,-,3,34,106,120,140,1,-,-
S01003179,300,299,1,-,301,280,-,21,2,5,2,274,18,-,-
S01003180,239,239,-,-,239,238,-,1,63,162,4,9,-,-,1
S01003181,348,348,-,-,348,344,-,4,6,88,133,116,5,-,-
S01003182,378,378,-,-,378,371,-,7,4,102,32,236,3,1,-
S01003183,337,337,-,-,337,331,-,6,2,3,3,321,5,3,-
S01003184,366,366,-,-,366,363,-,3,6,102,62,185,8,3,-
S01003185,262,262,-,-,262,259,1,2,2,11,7,242,-,-,-
S01003186,410,410,-,-,410,402,1,7,28,16,6,351,8,1,-
S01003187,507,506,1,-,508,492,2,14,1,2,72,341,92,-,-
S01003188,503,502,1,-,504,490,1,13,1,8,2,488,3,1,1
S01003189,452,452,-,-,452,420,-,32,4,4,6,433,5,-,-
S01003190,417,417,-,-,417,408,-,9,3,11,63,338,2,-,-
S01003191,283,283,-,-,283,278,1,4,-,3,3,274,2,1,-
S01003192,612,611,1,-,613,592,1,20,1,-,4,601,5,2,-
S01003193,667,667,-,-,667,638,-,29,348,101,32,180,4,2,-
S01003194,368,368,-,-,368,363,-,5,4,55,44,265,-,-,-
S01003195,311,311,-,-,311,306,-,5,48,134,85,41,3,-,-
S01003196,420,420,-,-,420,408,5,7,99,72,44,170,32,3,-
S01003197,383,383,-,-,383,375,-,8,87,104,12,154,26,-,-
S01003198,475,475,-,-,475,470,-,5,5,22,74,373,-,-,1
S01003199,429,429,-,-,429,416,-,13,38,171,62,155,3,-,-
S01003200,440,439,1,-,441,430,-,11,1,2,3,433,2,-,-
S01003201,135,135,-,-,135,133,-,2,2,20,32,80,1,-,-
S01003202,535,535,-,-,535,528,1,6,7,7,76,444,1,-,-
S01003203,415,415,-,-,415,413,1,1,7,118,46,240,1,2,1
S01003204,367,367,-,-,367,363,-,4,5,83,123,154,2,-,-
S01003205,433,433,-,-,433,431,-,2,4,18,71,292,-,1,47
S01003206,486,485,1,-,487,468,1,18,2,2,5,468,9,-,1
S01003207,325,325,-,-,325,316,-,9,1,4,5,311,4,-,-
S01003208,682,682,-,-,682,635,-,47,13,34,112,519,4,-,-
S01003209,257,257,-,-,257,250,-,7,2,141,52,60,-,2,-
S01003210,372,372,-,-,372,365,1,6,36,38,4,235,59,-,-
S01003211,258,258,-,-,258,251,-,7,2,7,3,243,3,-,-
S01003212,264,264,-,-,264,261,-,3,100,80,43,41,-,-,-
S01003213,268,268,-,-,268,264,1,3,4,34,48,180,2,-,-
S01003214,349,349,-,-,349,348,-,1,5,53,215,76,-,-,-
S01003215,387,387,-,-,387,383,-,4,-,64,88,235,-,-,-
S01003216,348,348,-,-,348,343,1,4,4,135,63,146,-,-,-
S01003217,422,422,-,-,422,418,-,4,9,21,51,337,2,1,1
S01003218,339,339,-,-,339,338,-,1,5,7,12,314,1,-,-
S01003219,345,345,-,-,345,337,-,8,5,135,66,138,-,1,-
S01003220,288,287,1,-,289,277,1,11,5,3,12,238,31,-,-
S01003221,491,490,1,-,492,428,-,64,3,13,4,470,1,1,-
S01003222,296,296,-,-,296,280,2,14,2,6,10,276,2,-,-
S01003223,503,503,-,-,503,470,-,33,4,8,8,471,2,10,-
S01003224,295,295,-,-,295,284,-,11,57,202,20,13,3,-,-
S01003225,410,410,-,-,410,398,-,12,-,1,9,399,-,1,-
S01003226,349,348,1,-,350,342,-,8,6,79,81,182,-,2,-
S01003227,814,814,-,-,814,792,-,22,4,8,7,783,8,4,-
S01003228,605,605,-,-,605,597,-,8,7,146,48,398,4,2,-
S01003229,341,341,-,-,341,332,1,8,81,61,8,72,117,2,-
S01003230,379,379,-,-,379,374,1,4,4,239,41,94,1,-,-
S01003231,443,443,-,-,443,442,-,1,5,72,244,121,1,-,-
S01003232,591,591,-,-,591,503,-,88,2,2,7,573,3,2,2
S01003233,356,356,-,-,356,349,-,7,196,86,25,38,10,1,-
S01003234,378,378,-,-,378,360,2,16,48,50,13,133,134,-,-
S01003235,383,383,-,-,383,370,-,13,10,157,34,181,1,-,-
S01003236,256,256,-,-,256,252,-,4,1,2,6,224,19,4,-
S01003237,415,415,-,-,415,414,-,1,8,75,228,103,-,1,-
S01003238,349,349,-,-,349,346,-,3,1,18,11,318,1,-,-
S01003239,486,486,-,-,486,461,-,25,2,12,9,460,3,-,-
S01003240,329,329,-,-,329,326,-,3,7,25,61,236,-,-,-
S01003241,355,355,-,-,355,349,1,5,2,244,8,101,-,-,-
S01003242,517,517,-,-,517,497,-,20,77,107,35,271,26,1,-
S01003243,411,411,-,-,411,405,-,6,15,71,77,242,4,2,-
S01003244,448,448,-,-,448,446,-,2,13,67,143,224,-,1,-
S01003245,719,719,-,-,719,708,1,10,3,4,14,689,8,-,1
S01003246,667,666,1,-,668,660,1,7,9,56,43,555,1,1,3
S01003247,364,364,-,-,364,355,-,9,11,70,112,169,1,1,-
S01003248,662,661,1,-,663,649,-,14,6,22,115,516,1,3,-
S01003249,432,432,-,-,432,421,-,11,17,30,9,371,4,1,-
S01003250,260,260,-,-,260,257,-,3,6,150,37,67,-,-,-
S01003251,479,479,-,-,479,471,-,8,2,7,50,419,-,1,-
S01003252,252,252,-,-,252,247,-,5,20,224,6,2,-,-,-
S01003253,544,543,-,1,547,540,1,6,4,28,26,483,2,4,-
S01003254,266,266,-,-,266,258,-,8,1,11,33,221,-,-,-
S01003255,455,455,-,-,455,446,-,9,12,26,17,392,8,-,-
S01003256,632,630,1,1,636,629,-,7,14,5,7,593,14,2,1
S01003257,266,266,-,-,266,258,-,8,41,106,3,87,29,-,-
S01003258,314,314,-,-,314,311,-,3,25,220,58,11,-,-,-
S01003259,486,486,-,-,486,479,-,7,133,125,57,158,-,13,-
S01003260,302,302,-,-,302,300,-,2,103,132,32,26,7,2,-
S01003261,428,428,-,-,428,421,3,4,44,257,71,47,9,-,-
S01003262,406,406,-,-,406,372,1,33,11,33,11,350,1,-,-
S01003263,471,468,3,-,474,465,-,9,9,38,127,297,2,-,1
S01003264,311,311,-,-,311,308,-,3,3,49,57,200,2,-,-
S01003265,307,307,-,-,307,306,-,1,14,29,95,167,2,-,-
S01003266,397,397,-,-,397,391,-,6,1,64,139,190,3,-,-
S01003267,598,598,-,-,598,583,-,15,6,15,18,553,6,-,-
S01003268,920,920,-,-,920,912,4,4,3,8,83,822,2,1,1
S01003269,502,502,-,-,502,493,1,8,11,43,43,396,6,2,1
S01003270,464,464,-,-,464,451,1,12,-,4,27,427,2,3,1
S01003271,"1,069","1,068",1,-,"1,070","1,036",4,30,7,17,82,936,21,7,-
S01003272,915,914,-,1,917,894,2,21,7,5,54,828,22,1,-
S01003273,445,445,-,-,445,431,-,14,6,8,36,383,2,10,-
S01003274,342,342,-,-,342,335,-,7,2,7,32,292,6,3,-
S01003275,560,560,-,-,560,552,-,8,9,80,25,438,3,4,1
S01003276,279,279,-,-,279,277,1,1,9,226,39,4,1,-,-
S01003277,325,325,-,-,325,321,-,4,28,64,23,208,1,1,-
S01003278,364,364,-,-,364,362,-,2,49,52,84,174,4,1,-
S01003279,167,167,-,-,167,167,-,-,4,48,71,44,-,-,-
S01003280,458,458,-,-,458,445,2,11,67,55,17,301,18,-,-
S01003281,242,242,-,-,242,242,-,-,4,52,24,157,4,-,1
S01003282,300,300,-,-,300,295,-,5,28,88,59,121,4,-,-
S01003283,292,292,-,-,292,291,-,1,25,173,76,18,-,-,-
S01003284,580,580,-,-,580,561,-,19,6,74,17,478,2,3,-
S01003285,162,161,1,-,163,163,-,-,-,1,-,161,1,-,-
S01003286,607,607,-,-,607,587,-,20,29,14,57,474,33,-,-
S01003287,243,243,-,-,243,201,-,42,2,3,3,234,1,-,-
S01003288,290,290,-,-,290,285,-,5,39,228,17,6,-,-,-
S01003289,223,223,-,-,223,216,-,7,4,12,2,195,9,-,1
S01003290,455,455,-,-,455,443,-,12,23,58,55,310,5,4,-
S01003291,397,397,-,-,397,394,-,3,4,18,49,324,2,-,-
S01003292,293,293,-,-,293,286,-,7,24,226,18,24,1,-,-
S01003293,455,455,-,-,455,447,-,8,2,7,17,425,-,3,1
S01003294,452,452,-,-,452,445,-,7,1,10,15,424,2,-,-
S01003295,385,385,-,-,385,376,-,9,127,187,20,41,1,-,9
S01003296,398,398,-,-,398,395,-,3,5,12,25,332,3,14,7
S01003297,316,316,-,-,316,316,-,-,4,8,11,292,-,1,-
S01003298,488,488,-,-,488,474,-,14,11,73,16,387,-,1,-
S01003299,215,215,-,-,215,214,-,1,5,29,22,155,2,1,1
S01003300,394,394,-,-,394,386,-,8,8,116,68,199,2,-,1
S01003301,415,415,-,-,415,406,-,9,5,43,32,334,-,-,1
S01003302,391,388,-,3,402,401,1,-,4,1,6,378,2,11,-
S01003303,"1,198","1,198",-,-,"1,198","1,144",3,51,3,12,7,"1,086",45,45,-
S01003304,396,396,-,-,396,365,-,31,5,2,2,386,1,-,-
S01003305,421,421,-,-,421,384,1,36,10,77,37,295,-,-,2
S01003306,566,566,-,-,566,515,-,51,3,77,47,436,2,1,-
S01003307,526,526,-,-,526,520,-,6,3,85,98,337,3,-,-
S01003308,370,370,-,-,370,367,-,3,4,23,176,167,-,-,-
S01003309,500,499,1,-,501,494,-,7,8,6,18,448,1,2,18
S01003310,379,379,-,-,379,376,-,3,1,54,53,271,-,-,-
S01003311,284,284,-,-,284,279,1,4,21,187,70,6,-,-,-
S01003312,235,235,-,-,235,228,-,7,6,13,70,146,-,-,-
S01003313,461,461,-,-,461,457,-,4,12,25,100,307,5,1,11
S01003314,393,392,1,-,394,372,-,22,3,8,34,314,2,33,-
S01003315,319,319,-,-,319,308,-,11,1,7,27,280,4,-,-
S01003316,337,337,-,-,337,317,-,20,4,10,19,303,1,-,-
S01003317,295,295,-,-,295,293,-,2,1,2,8,281,2,-,1
S01003318,304,304,-,-,304,299,1,4,105,142,36,21,-,-,-
S01003320,282,282,-,-,282,269,1,12,2,1,1,273,3,2,-
S01003321,309,309,-,-,309,304,-,5,94,179,8,27,-,1,-
S01003322,504,504,-,-,504,461,-,43,2,3,13,479,4,1,2
S01003323,296,296,-,-,296,292,-,4,53,89,125,28,1,-,-
S01003324,261,261,-,-,261,245,-,16,-,2,26,228,3,2,-
S01003325,316,316,-,-,316,313,-,3,3,10,9,292,1,-,1
S01003326,459,459,-,-,459,453,-,6,4,41,65,345,2,2,-
S01003327,281,281,-,-,281,274,-,7,1,-,5,274,1,-,-
S01003328,664,664,-,-,664,636,3,25,2,-,12,636,9,5,-
S01003329,380,380,-,-,380,367,-,13,20,99,152,97,12,-,-
S01003330,327,327,-,-,327,324,1,2,109,138,63,17,-,-,-
S01003331,386,386,-,-,386,376,1,9,6,18,110,247,-,1,4
S01003332,207,207,-,-,207,206,-,1,2,13,33,157,-,2,-
S01003333,528,527,-,1,531,525,1,5,6,25,84,408,3,3,2
S01003334,456,456,-,-,456,449,1,6,8,53,170,223,2,-,-
