Zone Code,all_16_74_employed,managers_senior_officials,prof_occupations,associate_prof_technical_occ,admin_secretarial,skilled_trades_occ,personal_service,sales_customer_service,process_plant_machine_operatives,elementary
60QA000345,52,6,11,16,7,3,2,1,3,3
60QA000346,40,6,9,7,3,2,1,3,4,5
60QA000347,41,5,6,6,4,8,2,5,5,0
60QA000348,22,6,4,5,1,0,1,1,3,1
60QA000349,36,5,8,7,5,2,2,1,5,1
60QA000350,54,7,12,11,10,2,6,2,3,1
60QA000351,62,11,19,9,6,3,3,6,2,3
60QA000352,46,7,8,12,9,2,2,1,2,3
60QA000353,48,12,9,4,9,4,2,1,2,5
60QA000354,44,13,8,4,5,3,3,3,2,3
60QA000355,38,4,9,9,7,1,2,2,2,2
60QA000356,69,13,19,7,8,8,4,4,1,5
60QA000357,97,9,24,18,11,10,4,7,7,7
60QA000358,70,4,28,11,8,7,4,4,1,3
60QA000359,85,14,23,11,16,7,5,5,2,2
60QA000360,48,1,12,12,9,4,1,2,2,5
60QA000361,36,10,6,8,2,0,1,2,3,4
60QA000362,52,9,11,10,7,4,3,3,2,3
60QA000363,72,18,8,17,11,2,0,8,4,4
60QA000364,55,8,12,7,9,5,3,4,1,6
60QA000365,48,8,12,9,6,3,2,2,4,2
60QA000366,21,4,3,5,4,1,1,1,0,2
60QA000367,36,4,9,8,5,3,0,2,1,4
60QA000368,17,1,1,5,2,0,1,2,1,4
60QA000369,51,9,11,6,14,2,4,2,2,1
60QA000370,78,16,21,18,9,4,1,3,4,2
60QA000371,54,15,7,11,6,4,0,4,3,4
60QA000372,48,8,9,10,8,3,0,3,0,7
60QA000373,45,9,10,7,3,7,1,2,1,5
60QA000374,61,13,17,11,7,5,3,1,1,3
60QA000375,38,10,14,4,2,2,2,1,2,1
60QA000376,68,13,14,10,6,8,2,3,3,9
60QA000377,66,12,10,14,12,1,1,9,1,6
60QA000378,33,5,8,9,4,2,2,2,1,0
60QA000379,75,14,21,14,12,4,4,5,0,1
60QA000380,42,2,2,4,3,7,6,5,3,10
60QA000381,55,1,4,8,13,10,0,7,5,7
60QA000382,44,6,1,3,5,7,4,5,3,10
60QA000383,60,5,2,3,8,11,3,5,8,15
